// Setup
SequentiallyOrderedLists = False
SequentiallyOrderedSentences = False
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True

// Presets // Preset selection is based on the value of PrimaryStringRepresentation, and are added on the specified PresetLevel. Each PresetLevel component is only added once.
PresetLevel = List
Preset = Måttlig_A: sitt_sytt_sött, hall_pall_tall, paj_pall_pang, kil_fil_sil
Preset = Måttlig_B_Fallande: tuff_tuss_tusch, sopp_sått_sort, kval_kvarn_kvav, fyr_skyr_syr
Preset = Grav_A: sarg_sorg_sörj, mår_mor_mur, hyf_hys_hyrs, kval_kvarn_kvar, tugg_tum_tung
Preset = Grav_B_Fallande: mark_märk_mörk, farm_charm_larm, red_räd_Ryd, ed_led_ned, sock_sått_sort
Preset = Alla ord: // If left empty all components (except practise components) are added
Preset = Kil-fil-sil: kil_fil_sil
Preset = Farm-charm-larm: farm_charm_larm
Preset = IHeAR_CS: sitt_sytt_sött, hall_pall_tall, paj_pall_pang, kil_fil_sil
//Preset = BSIM experiment (temporary): kil_fil_sil, fyr_skyr_syr, mår_mor_mur, rått_rott_rött
Preset = QuickSiP: mark_märk_mörk, fyr_skyr_syr, sitt_sytt_sött, kil_fil_sil, tuff_tuss_tusch
ContrastPreset = Konsonanter: ∅, b, ɕ, d, f, fː, ɡː, h, ɧ, ʝ, ʝː, k, kː, l, lː, m, mː, n, ɳ, nː, ŋː, p, pː, r, rː, s, ʂ, sː, ʂː, t, tː, ʈː, v
ContrastPreset = Tonlösa konsonanter: ɕ, f, fː, h, ɧ, k, kː, p, pː, s, ʂ, sː, ʂː, t, tː, ʈː
ContrastPreset = Vokaler: a, ɑː, æ, ɔ, eː, ɛ̝, ɛː, ɪ, iː, ɵ, oː, œ, ʊ, uː, ʉː, ʏ, yː, ø̞, øː

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	SipTest		The Swedish SiP-test	False
Sentence	L12S01	L12	paj	False
Word	L12S01W01	L12S01	paj	False
Phoneme	L12S01W01P01	L12S01W01	p	False
Phoneme	L12S01W01P02	L12S01W01	a	False
Phoneme	L12S01W01P03	L12S01W01	ʝː	False
Sentence	L12S02	L12	pall	False
Word	L12S02W01	L12S02	pall	False
Phoneme	L12S02W01P01	L12S02W01	p	False
Phoneme	L12S02W01P02	L12S02W01	a	False
Phoneme	L12S02W01P03	L12S02W01	lː	False
Sentence	L12S03	L12	pang	False
Word	L12S03W01	L12S03	pang	False
Phoneme	L12S03W01P01	L12S03W01	p	False
Phoneme	L12S03W01P02	L12S03W01	a	False
Phoneme	L12S03W01P03	L12S03W01	ŋː	False

List	L13	SipTest	bur_dur_mur	False
Sentence	L13S01	L13	bur	False
Word	L13S01W01	L13S01	bur	False
Phoneme	L13S01W01P01	L13S01W01	b	False
Phoneme	L13S01W01P02	L13S01W01	ʉː	False
Phoneme	L13S01W01P03	L13S01W01	r	False
Sentence	L13S02	L13	dur	False
Word	L13S02W01	L13S02	dur	False
Phoneme	L13S02W01P01	L13S02W01	d	False
Phoneme	L13S02W01P02	L13S02W01	ʉː	False
Phoneme	L13S02W01P03	L13S02W01	r	False
Sentence	L13S03	L13	mur	False
Word	L13S03W01	L13S03	mur	False
Phoneme	L13S03W01P01	L13S03W01	m	False
Phoneme	L13S03W01P02	L13S03W01	ʉː	False
Phoneme	L13S03W01P03	L13S03W01	r	False

List	L14	SipTest	tugg_tum_tung	False
Sentence	L14S01	L14	tugg	False
Word	L14S01W01	L14S01	tugg	False
Phoneme	L14S01W01P01	L14S01W01	t	False
Phoneme	L14S01W01P02	L14S01W01	ɵ	False
Phoneme	L14S01W01P03	L14S01W01	ɡː	False
Sentence	L14S02	L14	tum	False
Word	L14S02W01	L14S02	tum	False
Phoneme	L14S02W01P01	L14S02W01	t	False
Phoneme	L14S02W01P02	L14S02W01	ɵ	False
Phoneme	L14S02W01P03	L14S02W01	mː	False
Sentence	L14S03	L14	tung	False
Word	L14S03W01	L14S03	tung	False
Phoneme	L14S03W01P01	L14S03W01	t	False
Phoneme	L14S03W01P02	L14S03W01	ɵ	False
Phoneme	L14S03W01P03	L14S03W01	ŋː	False

List	L15	SipTest	kil_fil_sil	False
Sentence	L15S01	L15	kil	False
