Id	Transcription
L05S08W00P05	ɑː
L05S08W00P06	v
L05S09W00P00	s
L05S09W00P01	k
L05S09W00P02	uː
L05S09W00P03	n
L05S09W00P04	s
L05S09W00P05	a
L05S09W00P06	mː
L05S10W00P00	v
L05S10W00P01	ɛː
L05S10W00P02	ɖ
L05S10W00P03	ʂ
L05S10W00P04	b
L05S10W00P05	ɪ
L05S10W00P06	lː
L05S10W00P07	d
L05S11W00P00	ɪ
L05S11W00P01	nː
L05S11W00P02	ɕ
L05S11W00P03	øː
L05S11W00P04	p
L05S12W00P00	l
L05S12W00P01	ɔ
L05S12W00P02	ŋː
L05S12W00P03	s
L05S12W00P04	a
L05S12W00P05	mː
L05S13W00P00	t
L05S13W00P01	a
L05S13W00P02	kː
L05S13W00P03	s
L05S13W00P04	a
L05S13W00P05	mː
L05S14W00P00	n
L05S14W00P01	yː
L05S14W00P02	f
L05S14W00P03	ø̞
L05S14W00P04	dː
L05S15W00P00	ʉː
L05S15W00P01	t
L05S15W00P02	f
L05S15W00P03	l
L05S15W00P04	ʏ
L05S15W00P05	kː
L05S15W00P06	t
L05S16W00P00	v
L05S16W00P01	ɛː
L05S16W00P02	l
L05S16W00P03	ɕ
L05S16W00P04	ɛ̝
L05S16W00P05	nː
L05S16W00P06	d
L05S17W00P00	f
L05S17W00P01	a
L05S17W00P02	rː
L05S17W00P03	m
L05S17W00P04	ʊ
L05S17W00P05	rː
L05S18W00P00	f
L05S18W00P01	øː
L05S18W00P02	ɖ
L05S18W00P03	ʊ
L05S18W00P04	mː
L05S19W00P00	ɵ
L05S19W00P01	pː
L05S19W00P02	d
L05S19W00P03	r
L05S19W00P04	ɑː
L05S19W00P05	ɡ
L05S20W00P00	ɵ
L05S20W00P01	pː
L05S20W00P02	v
L05S20W00P03	ɛ̝
L05S20W00P04	kː
L05S20W00P05	s
L05S20W00P06	t
L05S21W00P00	h
L05S21W00P01	ɔ
L05S21W00P02	lː
L05S21W00P03	b
L05S21W00P04	ɑː
L05S21W00P05	r
L05S22W00P00	ɑː
L05S22W00P01	v
L05S22W00P02	s
L05S22W00P03	ɛ̝
L05S22W00P04	dː
L05S23W00P00	t
L05S23W00P01	ɑː
L05S23W00P02	l
L05S23W00P03	m
L05S23W00P04	a
L05S23W00P05	nː
L05S24W00P00	d
L05S24W00P01	ɑː
L05S24W00P02	ɡ
L05S24W00P03	b
L05S24W00P04	uː
L05S24W00P05	k
L06S00W00P00	b
L06S00W00P01	ɑː
L06S00W00P02	k
L06S00W00P03	t
L06S00W00P04	ɪ
L06S00W00P05	lː
L06S01W00P00	h
L06S01W00P01	a
L06S01W00P02	lː
L06S01W00P03	s
L06S01W00P04	d
L06S01W00P05	ʉː
L06S01W00P06	k
L06S02W00P00	s
L06S02W00P01	ɛ̝
L06S02W00P02	ŋː
L06S02W00P03	b
L06S02W00P04	uː
L06S02W00P05	ɖ
L06S03W00P00	v
L06S03W00P01	ɑː
L06S03W00P02	l
L06S03W00P03	f
L06S03W00P04	r
L06S03W00P05	ɪ
L06S03W00P06	tː
L06S04W00P00	ɵ
L06S04W00P01	pː
L06S04W00P02	s
L06S04W00P03	t
L06S04W00P04	oː
L06S04W00P05	r
L06S05W00P00	n
L06S05W00P01	yː
L06S05W00P02	h
L06S05W00P03	eː
L06S05W00P04	t
L06S06W00P00	l
L06S06W00P01	eː
L06S06W00P02	k
L06S06W00P03	p
L06S06W00P04	a
L06S06W00P05	rː
L06S06W00P06	k
L06S07W00P00	uː
L06S07W00P01	k
L06S07W00P02	l
L06S07W00P03	ɑː
L06S07W00P04	r
L06S08W00P00	ɡ
L06S08W00P01	r
L06S08W00P02	a
L06S08W00P03	nː
L06S08W00P04	l
L06S08W00P05	a
L06S08W00P06	nː
L06S08W00P07	d
L06S09W00P00	ʝ
L06S09W00P01	ʉː
L06S09W00P02	l
L06S09W00P03	k
L06S09W00P04	l
L06S09W00P05	a
L06S09W00P06	pː
L06S10W00P00	s
L06S10W00P01	oː
L06S10W00P02	r
L06S10W00P03	b
L06S10W00P04	ɑː
L06S10W00P05	r
L06S11W00P00	f
L06S11W00P01	r
L06S11W00P02	a
L06S11W00P03	mː
L06S11W00P04	s
L06S11W00P05	t
L06S11W00P06	oː
L06S12W00P00	d
L06S12W00P01	a
L06S12W00P02	nː
L06S12W00P03	s
L06S12W00P04	b
L06S12W00P05	a
L06S12W00P06	nː
L06S12W00P07	d
L06S13W00P00	f
L06S13W00P01	r
L06S13W00P02	iː
L06S13W00P03	s
L06S13W00P04	p
L06S13W00P05	a
L06S13W00P06	rː
L06S13W00P07	k
L06S14W00P00	ɑː
L06S14W00P01	v
L06S14W00P02	ʝ
L06S14W00P03	ʊ
L06S14W00P04	ʈː
L06S15W00P00	t
L06S15W00P01	iː
L06S15W00P02	d
L06S15W00P03	l
L06S15W00P04	øː
L06S15W00P05	s
L06S16W00P00	ɵ
L06S16W00P01	pː
L06S16W00P02	s
L06S16W00P03	ɪ
L06S16W00P04	kː
L06S16W00P05	t
L06S17W00P00	f
L06S17W00P01	uː
L06S17W00P02	t
L06S17W00P03	s
L06S17W00P04	p
L06S17W00P05	oː
L06S17W00P06	r
L06S18W00P00	ø̞
L06S18W00P01	nː
L06S18W00P02	s
L06S18W00P03	k
L06S18W00P04	v
L06S18W00P05	ɛː
L06S18W00P06	ʈ
L06S19W00P00	ʝ
L06S19W00P01	ʉː
L06S19W00P02	r
L06S19W00P03	p
L06S19W00P04	a
L06S19W00P05	rː
L06S19W00P06	k
L06S20W00P00	h
L06S20W00P01	ɛː
L06S20W00P02	n
L06S20W00P03	s
L06S20W00P04	yː
L06S20W00P05	n
L06S21W00P00	f
L06S21W00P01	iː
L06S21W00P02	l
L06S21W00P03	m
L06S21W00P04	ʝ
L06S21W00P05	ø̞
L06S21W00P06	lː
L06S21W00P07	k
L06S22W00P00	r
L06S22W00P01	ɵ
L06S22W00P02	mː
L06S22W00P03	s
L06S22W00P04	v
L06S22W00P05	a
L06S22W00P06	rː
L06S22W00P07	m
L06S22W00P08	t
L06S23W00P00	f
L06S23W00P01	l
L06S23W00P02	yː
L06S23W00P03	ɡ
L06S23W00P04	p
L06S23W00P05	l
L06S23W00P06	ɑː
L06S23W00P07	n
L06S24W00P00	t
L06S24W00P01	a
L06S24W00P02	nː
L06S24W00P03	d
L06S24W00P04	k
L06S24W00P05	r
L06S24W00P06	ɛː
L06S24W00P07	m
L07S00W00P00	a
L07S00W00P01	rː
L07S00W00P02	m
L07S00W00P03	b
L07S00W00P04	a
L07S00W00P05	nː
L07S00W00P06	d
L07S01W00P00	r
L07S01W00P01	eː
L07S01W00P02	v
L07S01W00P03	b
L07S01W00P04	eː
L07S01W00P05	n
L07S02W00P00	l
L07S02W00P01	a
L07S02W00P02	sː
L07S02W00P03	t
L07S02W00P04	b
L07S02W00P05	iː
L07S02W00P06	l
