// Setup
SequentiallyOrderedLists = True
SequentiallyOrderedSentences = True
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True
PresetLevel = ListCollection

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	Swedish Spondees 23		Swedish Spondees 23	False
Phoneme	L01S13W00P04	L01S13W00	b	False
Phoneme	L01S13W00P05	L01S13W00	ɑː	False
Phoneme	L01S13W00P06	L01S13W00	ɳ	False
Sentence	L01S14	L01	Sentence14	False
Word	L01S14W00	L01S14	Körkort	False
Phoneme	L01S14W00P00	L01S14W00	ɕ	False
Phoneme	L01S14W00P01	L01S14W00	øː	False
Phoneme	L01S14W00P02	L01S14W00	r	False
Phoneme	L01S14W00P03	L01S14W00	k	False
Phoneme	L01S14W00P04	L01S14W00	ʊ	False
Phoneme	L01S14W00P05	L01S14W00	ʈː	False
Sentence	L01S15	L01	Sentence15	False
Word	L01S15W00	L01S15	Bidrag	False
Phoneme	L01S15W00P00	L01S15W00	b	False
Phoneme	L01S15W00P01	L01S15W00	iː	False
Phoneme	L01S15W00P02	L01S15W00	d	False
Phoneme	L01S15W00P03	L01S15W00	r	False
Phoneme	L01S15W00P04	L01S15W00	ɑː	False
Phoneme	L01S15W00P05	L01S15W00	ɡ	False
Sentence	L01S16	L01	Sentence16	False
Word	L01S16W00	L01S16	Örngott	False
Phoneme	L01S16W00P00	L01S16W00	øː	False
Phoneme	L01S16W00P01	L01S16W00	ɳ	False
Phoneme	L01S16W00P02	L01S16W00	ɡ	False
Phoneme	L01S16W00P03	L01S16W00	ɔ	False
Phoneme	L01S16W00P04	L01S16W00	tː	False
Sentence	L01S17	L01	Sentence17	False
Word	L01S17W00	L01S17	Domstol	False
Phoneme	L01S17W00P00	L01S17W00	d	False
Phoneme	L01S17W00P01	L01S17W00	ʊ	False
Phoneme	L01S17W00P02	L01S17W00	mː	False
Phoneme	L01S17W00P03	L01S17W00	s	False
Phoneme	L01S17W00P04	L01S17W00	t	False
Phoneme	L01S17W00P05	L01S17W00	uː	False
Phoneme	L01S17W00P06	L01S17W00	l	False
Sentence	L01S18	L01	Sentence18	False
Word	L01S18W00	L01S18	Glasburk	False
Phoneme	L01S18W00P00	L01S18W00	ɡ	False
Phoneme	L01S18W00P01	L01S18W00	l	False
Phoneme	L01S18W00P02	L01S18W00	ɑː	False
Phoneme	L01S18W00P03	L01S18W00	s	False
Phoneme	L01S18W00P04	L01S18W00	b	False
Phoneme	L01S18W00P05	L01S18W00	ɵ	False
Phoneme	L01S18W00P06	L01S18W00	rː	False
Phoneme	L01S18W00P07	L01S18W00	k	False
Sentence	L01S19	L01	Sentence19	False
Word	L01S19W00	L01S19	Tillsätt	False
Phoneme	L01S19W00P00	L01S19W00	t	False
Phoneme	L01S19W00P01	L01S19W00	ɪ	False
Phoneme	L01S19W00P02	L01S19W00	lː	False
Phoneme	L01S19W00P03	L01S19W00	s	False
Phoneme	L01S19W00P04	L01S19W00	ɛ̝	False
Phoneme	L01S19W00P05	L01S19W00	tː	False
Sentence	L01S20	L01	Sentence20	False
Word	L01S20W00	L01S20	Kortspel	False
Phoneme	L01S20W00P00	L01S20W00	k	False
Phoneme	L01S20W00P01	L01S20W00	ʊ	False
Phoneme	L01S20W00P02	L01S20W00	ʈː	False
Phoneme	L01S20W00P03	L01S20W00	ʂ	False
Phoneme	L01S20W00P04	L01S20W00	p	False
Phoneme	L01S20W00P05	L01S20W00	eː	False
Phoneme	L01S20W00P06	L01S20W00	l	False
Sentence	L01S21	L01	Sentence21	False
Word	L01S21W00	L01S21	Fästmö	False
Phoneme	L01S21W00P00	L01S21W00	f	False
Phoneme	L01S21W00P01	L01S21W00	ɛ̝	False
Phoneme	L01S21W00P02	L01S21W00	sː	False
Phoneme	L01S21W00P03	L01S21W00	t	False
Phoneme	L01S21W00P04	L01S21W00	m	False
Phoneme	L01S21W00P05	L01S21W00	øː	False
Sentence	L01S22	L01	Sentence22	False
Word	L01S22W00	L01S22	Avslut	False
Phoneme	L01S22W00P00	L01S22W00	ɑː	False
Phoneme	L01S22W00P01	L01S22W00	v	False
Phoneme	L01S22W00P02	L01S22W00	s	False
Phoneme	L01S22W00P03	L01S22W00	l	False
Phoneme	L01S22W00P04	L01S22W00	ʉː	False
Phoneme	L01S22W00P05	L01S22W00	t	False
Sentence	L01S23	L01	Sentence23	False
Word	L01S23W00	L01S23	Närhet	False
Phoneme	L01S23W00P00	L01S23W00	n	False
Phoneme	L01S23W00P01	L01S23W00	ɛː	False
Phoneme	L01S23W00P02	L01S23W00	r	False
Phoneme	L01S23W00P03	L01S23W00	h	False
Phoneme	L01S23W00P04	L01S23W00	eː	False
Phoneme	L01S23W00P05	L01S23W00	t	False
Sentence	L01S24	L01	Sentence24	False
Word	L01S24W00	L01S24	Motvind	False
Phoneme	L01S24W00P00	L01S24W00	m	False
Phoneme	L01S24W00P01	L01S24W00	uː	False
Phoneme	L01S24W00P02	L01S24W00	t	False
Phoneme	L01S24W00P03	L01S24W00	v	False
Phoneme	L01S24W00P04	L01S24W00	ɪ	False
Phoneme	L01S24W00P05	L01S24W00	nː	False
Phoneme	L01S24W00P06	L01S24W00	d	False

List	L02	Swedish Spondees 23	Lista 3	False
Sentence	L02S00	L02	Sentence00	False
Word	L02S00W00	L02S00	Livsstil	False
Phoneme	L02S00W00P00	L02S00W00	l	False
Phoneme	L02S00W00P01	L02S00W00	ɪ	False
Phoneme	L02S00W00P02	L02S00W00	fː	False
Phoneme	L02S00W00P03	L02S00W00	s	False
Phoneme	L02S00W00P04	L02S00W00	t	False
Phoneme	L02S00W00P05	L02S00W00	iː	False
Phoneme	L02S00W00P06	L02S00W00	l	False
Sentence	L02S01	L02	Sentence01	False
Word	L02S01W00	L02S01	Avtal	False
Phoneme	L02S01W00P00	L02S01W00	ɑː	False
Phoneme	L02S01W00P01	L02S01W00	v	False
Phoneme	L02S01W00P02	L02S01W00	t	False
