UniqueIdentifier	OrthographicForm	GIL2P_OT_Average	GIL2P_OT_Min	PIP2G_OT_Average	PIP2G_OT_Min	G2P_OT_Average	HomographCount	RawWordTypeFrequency	RawDocumentCount	PhoneticForm	PhonotacticType	SSPP_Average	SSPP_Min	PSP_Sum	PSBP_Sum	S_PSP_Average	S_PSBP_Average	HomophoneCount	PNDP	ONDP	NumberOfSenses	ForeignWord	ZipfValue	SyllableCount	PhoneCount	PLD1WordCount	OLD1WordCount
C	C	N	N	N	N	N	N	N	N	C	C	N	N	N	N	N	N	N	N	N	N	C	N	N	N	N	N
levs [ l ˈ eː v s ]	levs	0,9896	0,9582	1	1	0,8015	0	97	77	l ˈ eː v s	CVCC	0,8939	0,759	0,1654	0,0051	1,3732	0,7093	0	0,059	0,03	2	False	2,2585	1	4	17	29
levt [ l ˈ eː v t ]	levt	0,9896	0,9582	1	1	0,8015	0	7445	3122	l ˈ eː v t	CVCC	0,8928	0,7534	0,1618	0,0044	1,3245	0,4661	0	0,187	0,091	2	False	4,1392	1	4	6	14
lex [ l ˈ ɛ̝ kː s ]	lex	0,9842	0,9525	0,9524	0,8571	0,7032	0	891	260	l ˈ ɛ̝ kː s	CVCC	0,9413	0,9158	0,1911	0,016	1,6962	4,034	1	0,038	0,038	1	False	3,2176	1	4	32	23
li [ l ˈ iː ]	li	0,9827	0,9654	1	1	0,6283	0	3291	857	l ˈ iː	CV	0,9735	0,9206	0,0638	0,0026	0,657	0,788	1	0,032	0,023	2	False	3,7847	1	2	33	46
lic [ l ˈ ɪ sː ]	lic	0,6667	0	0,6667	0	0,6667	0	27	19	l ˈ ɪ sː	CVC	0,9135	0,8882	0,122	0,0103	1,2756	3,0022	1	0,038	0,026	1	False	1,7144	1	3	22	22
lid [ l ˈ iː d ]	lid	0,9885	0,9654	1	1	0,7522	0	224	133	l ˈ iː d	CVC	0,9438	0,8545	0,1056	0,0082	1,1048	2,5095	1	0,029	0,021	4	False	2,6194	1	3	26	39
lidh [ l ˈ iː d ]	lidh	0,9443	0,8117	0,75	0	0,5723	0	0	0	l ˈ iː d	CVC	0,9438	0,8545	0,1056	0,0082	1,1048	2,5095	1	0,029	0,014		False	0,2672	1	3	26	9
lids [ l ˈ iː d s ]	lids	0,9913	0,9654	1	1	0,8142	0	29	26	l ˈ iː d s	CVCC	0,9031	0,7407	0,1776	0,0115	1,6114	2,6453	0	0,038	0,026	4	False	1,7444	1	4	17	25
liew [ l ˈ iː v ]	liew	0,9302	0,7554	0,6872	0	0,5655	0	0	0	l ˈ iː v	CVC	0,9341	0,8159	0,0876	0,0043	0,6893	0,8987	8	0,065	0,02		False	0,2672	1	3	24	5
lif [ l ˈ iː v ]	lif	0,8462	0,5733	0,8534	0,5601	0,4192	0	92	43	l ˈ iː v	CVC	0,9341	0,8159	0,0876	0,0043	0,6893	0,8987	8	0,065	0,026		False	2,2357	1	3	24	28
lifh [ l ˈ iː v ]	lifh	0,8376	0,5733	0,64	0	0,3225	0	0	0	l ˈ iː v	CVC	0,9341	0,8159	0,0876	0,0043	0,6893	0,8987	8	0,065	0,036		False	0,2672	1	3	24	3
lift [ l ˈ ɪ fː t ]	lift	0,9632	0,8528	1	1	0,7722	0	1029	554	l ˈ ɪ fː t	CVCC	0,9191	0,7662	0,1736	0,0099	1,3988	1,8772	0	0,092	0,08	2	False	3,2801	1	4	9	11
lifts [ l ˈ ɪ fː t s ]	lifts	0,9706	0,8528	1	1	0,8178	0	74	50	l ˈ ɪ fː t s	CVCCC	0,8833	0,7041	0,2392	0,0139	1,669	2,1581	0	0,102	0,131	2	False	2,1423	1	5	8	6
ligg [ l ˈ ɪ ɡː ]	ligg	0,9471	0,8412	1	1	1	0	1399	834	l ˈ ɪ ɡː	CVC	0,8904	0,7847	0,1032	0,0055	0,8399	0,9854	0	0,056	0,066	6	False	3,4134	1	3	18	17
lights [ l ˈ a ʝː t s ]	lights	0,8918	0,5674	0,8864	0,5457	1	0	1644	701	l ˈ a ʝː t s	CVCCC	0,8467	0,7041	0,2787	0,0121	2,07	1,6263	0	0,115	0,348		True	3,4834	1	5	10	2
lihv [ l ˈ iː v ]	lihv	0,9443	0,8117	0,75	0	0,5723	0	1	1	l ˈ iː v	CVC	0,9341	0,8159	0,0876	0,0043	0,6893	0,8987	8	0,065	0,069		False	0,5683	1	3	24	3
liif [ l ˈ iː v ]	liif	0,6708	0,4391	0,6716	0,4548	0,667	0	2	2	l ˈ iː v	CVC	0,9341	0,8159	0,0876	0,0043	0,6893	0,8987	8	0,065	0,091		False	0,7444	1	3	24	3
liiv [ l ˈ iː v ]	liiv	0,813	0,4391	0,8183	0,4548	1	0	8	7	l ˈ iː v	CVC	0,9341	0,8159	0,0876	0,0043	0,6893	0,8987	8	0,065	0,151		False	1,2215	1	3	24	3
lik [ l ˈ iː k ]	lik	0,9885	0,9654	1	1	0,7522	0	12114	3987	l ˈ iː k	CVC	0,9354	0,8211	0,0963	0,0045	0,8909	0,9871	0	0,05	0,032	4	False	4,3506	1	3	24	40
liks [ l ˈ iː k s ]	liks	0,9913	0,9654	1	1	0,8142	0	108	60	l ˈ iː k s	CVCC	0,9008	0,7626	0,1684	0,0073	1,4511	1,4305	0	0,06	0,033	4	False	2,3047	1	4	16	27
likt [ l ˈ iː k t ]	likt	0,9913	0,9654	1	1	0,8142	0	13882	4037	l ˈ iː k t	CVCC	0,9376	0,8211	0,1647	0,0062	1,4023	1,0704	0	0,12	0,057	4	False	4,4097	1	4	9	22
likts [ l ˈ iː k t s ]	likts	0,9931	0,9654	1	1	0,8513	0	0	0	l ˈ iː k t s	CVCCC	0,8987	0,7041	0,2303	0,0102	1,6719	1,553	0	0,027	0,012		False	0,2672	1	5	4	11
lil [ l ˈ ɪ lː ]	lil	0,968	0,9041	0,9834	0,9502	0,7175	0	824	359	l ˈ ɪ lː	CVC	0,9498	0,9089	0,1386	0,015	1,658	4,9683	1	0,052	0,03		False	3,1837	1	3	21	30
lill [ l ˈ ɪ lː ]	lill	0,9838	0,9515	1	1	1	0	2862	770	l ˈ ɪ lː	CVC	0,9498	0,9089	0,1386	0,015	1,658	4,9683	1	0,052	0,044	2	False	3,7241	1	3	21	22
lills [ l ˈ ɪ lː s ]	lills	0,9879	0,9515	1	1	1	0	38	21	l ˈ ɪ lː s	CVCC	0,9308	0,8418	0,2106	0,0192	2,0264	4,568	0	0,042	0,036		False	1,8583	1	4	16	18
lim [ l ˈ ɪ mː ]	lim	0,9836	0,9509	1	1	0,7523	0	1866	929	l ˈ ɪ mː	CVC	0,9137	0,8255	0,1219	0,0072	1,2716	1,6875	0	0,071	0,038	1	False	3,5384	1	3	16	30
lime [ l ˈ a ʝː m ]	lime	0,8569	0,6721	0,6616	0	0,5015	0	5125	1590	l ˈ a ʝː m	CVCC	0,8659	0,6778	0,1697	0,0079	1,321	1,1128	0	0,134	0,075	1	False	3,977	1	4	8	15
limes [ l ˈ a ʝː m s ]	limes	0,8855	0,6721	0,7293	0	0,6012	0	37	24	l ˈ a ʝː m s	CVCCC	0,8474	0,6778	0,2353	0,0088	1,6068	0,9077	0	0,109	0,062	2	False	1,847	1	5	4	11
lims [ l ˈ ɪ mː s ]	lims	0,9877	0,9509	1	1	0,8142	0	15	11	l ˈ ɪ mː s	CVCC	0,8758	0,7238	0,1939	0,0093	1,7366	1,6811	0	0,053	0,03	1	False	1,4714	1	4	12	20
lin [ l ˈ iː n ]	lin	0,9885	0,9654	1	1	0,7522	0	665	285	l ˈ iː n	CVC	0,9572	0,9084	0,0993	0,0049	0,9592	1,1243	1	0,027	0,017	1	False	3,0907	1	3	30	52
lin- [ l ˈ iː n ]	lin-	0,9885	0,9654	1	1	0,7522	0	16	13	l ˈ iː n	CVC	0,9572	0,9084	0,0993	0,0049	0,9592	1,1243	1	0,027	0,045	3	False	1,4977	1	3	30	9
linck [ l ˈ ɪ ŋː k ]	linck	0,8621	0,4483	0,8809	0,5237	1	0	0	0	l ˈ ɪ ŋː k	CVCC	0,9197	0,8837	0,1608	0,0123	1,2609	2,6561	1	0,078	0,036		False	0,2672	1	4	18	2
lind [ l ˈ ɪ nː d ]	lind	0,9923	0,969	1	1	0,7963	0	1299	492	l ˈ ɪ nː d	CVCC	0,9435	0,8882	0,1722	0,0245	1,4867	6,5725	1	0,087	0,037	1	False	3,3812	1	4	11	27
lindh [ l ˈ ɪ nː d ]	lindh	0,9562	0,8117	0,8	0	0,6435	0	1240	504	l ˈ ɪ nː d	CVCC	0,9435	0,8882	0,1722	0,0245	1,4867	6,5725	1	0,087	0,091		False	3,361	1	4	11	15
lindhs [ l ˈ ɪ nː d s ]	lindhs	0,9635	0,8117	0,8333	0	0,7029	0	135	94	l ˈ ɪ nː d s	CVCCC	0,9097	0,7407	0,2378	0,0292	1,7394	5,818	1	0,087	0,092		False	2,4008	1	5	11	11
linds [ l ˈ ɪ nː d s ]	linds	0,9938	0,969	1	1	0,837	0	133	85	l ˈ ɪ nː d s	CVCCC	0,9097	0,7407	0,2378	0,0292	1,7394	5,818	1	0,087	0,032	1	False	2,3943	1	5	11	28
line [ l ˈ a ʝː n ]	line	0,8569	0,6721	0,6616	0	0,5015	0	5337	1627	l ˈ a ʝː n	CVCC	0,8767	0,732	0,1773	0,008	1,4222	1,1474	0	0,172	0,037	1	False	3,9946	1	4	6	33
lines [ l ˈ a ʝː n s ]	lines	0,8855	0,6721	0,7293	0	0,6012	0	1085	498	l ˈ a ʝː n s	CVCCC	0,8627	0,732	0,2429	0,0121	1,6878	1,6306	0	0,201	0,061	1	True	3,3031	1	5	5	23
ling [ l ˈ ɪ ŋː ]	ling	0,952	0,856	1	1	0,7582	0	253	102	l ˈ ɪ ŋː	CVC	0,9136	0,8837	0,1134	0,0077	1,0756	1,8976	1	0,033	0,027	1	False	2,6721	1	3	23	29
lingh [ l ˈ ɪ ŋː ]	lingh	0,9169	0,8117	0,75	0	0,5768	0	8	5	l ˈ ɪ ŋː	CVC	0,9136	0,8837	0,1134	0,0077	1,0756	1,8976	1	0,033	0,078		False	1,2215	1	3	23	8
lings [ l ˈ ɪ ŋː s ]	lings	0,964	0,856	1	1	0,8187	0	22	14	l ˈ ɪ ŋː s	CVCC	0,8981	0,7775	0,1855	0,0095	1,5896	1,7105	0	0,037	0,03	1	False	1,629	1	4	16	20
link [ l ˈ ɪ ŋː k ]	link	0,9495	0,7979	0,983	0,9321	0,756	0	5662	570	l ˈ ɪ ŋː k	CVCC	0,9197	0,8837	0,1608	0,0123	1,2609	2,6561	1	0,078	0,045	2	False	4,0203	1	4	18	30
linn [ l ˈ ɪ nː ]	linn	0,9549	0,8646	0,9641	0,8922	1	0	17401	1363	l ˈ ɪ nː	CVC	0,9574	0,9089	0,1316	0,0105	1,4973	3,0683	0	0,053	0,054	1	False	4,5078	1	3	23	29
linns [ l ˈ ɪ nː s ]	linns	0,9661	0,8646	0,9731	0,8922	1	0	744	246	l ˈ ɪ nː s	CVCC	0,9377	0,8593	0,2037	0,0178	1,9059	4,3404	1	0,063	0,049	1	False	3,1394	1	4	19	22
lins [ l ˈ iː n s ]	lins	0,9913	0,9654	1	1	0,8142	1	508	333	l ˈ iː n s	CVCC	0,9244	0,7928	0,1713	0,0109	1,5023	2,6037	0	0,05	0,026	3	False	2,974	1	4	21	44
lins [ l ˈ ɪ nː s ]	lins	0,9923	0,969	1	1	0,7963	1	508	333	l ˈ ɪ nː s	CVCC	0,9377	0,8593	0,2037	0,0178	1,9059	4,3404	1	0,063	0,026	3	False	2,974	1	4	19	44
linz [ l ˈ ɪ nː t s ]	linz	0,9401	0,7914	0,8796	0,5186	0,5741	0	179	31	l ˈ ɪ nː t s	CVCCC	0,8961	0,7041	0,2656	0,0194	2,0357	3,399	0	0,111	0,064		False	2,5225	1	5	11	12
lip [ l ˈ iː p ]	lip	0,9885	0,9654	1	1	0,7522	0	3305	772	l ˈ iː p	CVC	0,8929	0,6512	0,0786	0,003	0,4807	0,3342	0	0,069	0,037		False	3,7865	1	3	15	33
lips [ l ˈ iː p s ]	lips	0,9913	0,9654	1	1	0,8142	0	2101	768	l ˈ iː p s	CVCC	0,863	0,6512	0,1507	0,0038	1,1434	0,3436	0	0,118	0,061	2	False	3,5899	1	4	10	20
lir [ l ˈ iː r ]	lir	0,9885	0,9654	1	1	0,7522	0	370	153	l ˈ iː r	CVC	0,9414	0,8452	0,1276	0,0032	1,6145	0,4289	0	0,034	0,024	1	False	2,8366	1	3	26	37
lirs [ l ˈ iː ʂ ]	lirs	0,9238	0,8059	1	1	0,7522	0	0	0	l ˈ iː ʂ	CVC	0,8481	0,4788	0,0735	0,0026	0,3631	0,181	0	0,005	0,005		False	0,2672	1	3	18	24
lis [ l ˈ iː s ]	lis	0,9885	0,9654	1	1	0,7522	0	221	111	l ˈ iː s	CVC	0,9392	0,8361	0,1173	0,0043	1,3777	0,9003	0	0,021	0,015	2	False	2,6136	1	3	37	53
list [ l ˈ ɪ sː t ]	list	0,969	0,8758	1	1	0,7655	0	3687	1350	l ˈ ɪ sː t	CVCC	0,9435	0,8882	0,1905	0,0223	1,6908	5,8335	1	0,076	0,049	2	False	3,834	1	4	13	22
lists [ l ˈ ɪ sː t s ]	lists	0,9752	0,8758	1	1	0,8124	0	333	113	l ˈ ɪ sː t s	CVCCC	0,9036	0,7041	0,256	0,0263	1,9027	5,1253	1	0,127	0,076	2	False	2,791	1	5	10	15
liszt [ l ˈ ɪ sː t ]	liszt	0,8114	0,2457	0,8201	0,2805	0,7651	0	8	6	l ˈ ɪ sː t	CVCC	0,9435	0,8882	0,1905	0,0223	1,6908	5,8335	1	0,076	0,217	1	False	1,2215	1	4	13	2
