UniqueIdentifier	OrthographicForm	GIL2P_OT_Average	GIL2P_OT_Min	PIP2G_OT_Average	PIP2G_OT_Min	G2P_OT_Average	HomographCount	RawWordTypeFrequency	RawDocumentCount	PhoneticForm	PhonotacticType	SSPP_Average	SSPP_Min	PSP_Sum	PSBP_Sum	S_PSP_Average	S_PSBP_Average	HomophoneCount	PNDP	ONDP	NumberOfSenses	ForeignWord	ZipfValue	SyllableCount	PhoneCount	PLD1WordCount	OLD1WordCount
C	C	N	N	N	N	N	N	N	N	C	C	N	N	N	N	N	N	N	N	N	N	C	N	N	N	N	N
surts [ s ˈ ʉː ʈ ʂ ]	surts	0,8818	0,7267	0,9706	0,8824	0,6642	0	1	1	s ˈ ʉː ʈ ʂ	CVCC	0,8242	0,5947	0,1596	0,0014	0,9142	-0,1774	0	0,105	0,025	3	False	0,5683	1	4	2	11
sus [ s ˈ ʉː s ]	sus	1	1	1	1	0,8793	0	1256	362	s ˈ ʉː s	CVC	0,9099	0,8167	0,1979	0,0044	2,3942	1,2135	0	0,039	0,03	1	False	3,3666	1	3	26	36
suup [ s ˈ ʉː p ]	suup	0,75	0	0,75	0	0,6595	0	0	0	s ˈ ʉː p	CVC	0,8704	0,6588	0,1592	0,0019	1,4972	0,1768	1	0,079	0,027		False	0,2672	1	3	11	4
sv [ s v ˈ ɛ̝ nː s k ]	sv	0,3333	0	0,3333	0	0,3333	0	5487	501	s v ˈ ɛ̝ nː s k	CCVCCC	0,926	0,744	0,2889	0,0223	1,5451	2,9421	1	0,426	0,031	1	False	4,0067	1	6	2	37
svabb [ s v ˈ a bː ]	svabb	0,9557	0,8228	1	1	1	0	13	12	s v ˈ a bː	CCVC	0,8958	0,7343	0,2024	0,0103	1,626	1,7337	0	0,057	0,113	1	False	1,4134	1	4	9	4
svabbs [ s v ˈ a bː s ]	svabbs	0,9646	0,8228	1	1	1	0	0	0	s v ˈ a bː s	CCVCC	0,8747	0,672	0,2679	0,0104	1,8508	1,2268	0	0,037	0,038		False	0,2672	1	5	4	4
svag [ s v ˈ ɑː ɡ ]	svag	0,9905	0,962	1	1	0,7994	0	12098	3896	s v ˈ ɑː ɡ	CCVC	0,9799	0,8993	0,191	0,0094	1,3635	1,5234	0	0,13	0,094	2	False	4,35	1	4	9	14
svags [ s v ˈ ɑː ɡ s ]	svags	0,9924	0,962	1	1	0,8395	0	3	2	s v ˈ ɑː ɡ s	CCVCC	0,9416	0,7506	0,2565	0,0101	1,6408	1,1827	0	0,051	0,025	2	False	0,8693	1	5	6	13
svagt [ s v ˈ ɑː k t ]	svagt	0,9645	0,8603	0,9714	0,857	0,6469	0	4170	1947	s v ˈ ɑː k t	CCVCC	0,9426	0,8103	0,284	0,0114	1,9336	1,4499	0	0,28	0,119	2	False	3,8875	1	5	3	8
svagts [ s v ˈ ɑː k t s ]	svagts	0,9704	0,8603	0,9762	0,857	0,7057	0	0	0	s v ˈ ɑː k t s	CCVCCC	0,9086	0,7041	0,3544	0,0198	2,1129	2,4519	0	0,053	0,02		False	0,2672	1	6	2	6
svahn [ s v ˈ ɑː n ]	svahn	0,9547	0,8117	0,8	0	0,646	0	246	74	s v ˈ ɑː n	CCVC	0,9713	0,8993	0,2056	0,0093	1,5589	1,4766	3	0,087	0,289		False	2,6599	1	4	9	3
swahn [ s v ˈ ɑː n ]	swahn	0,9547	0,8117	0,7498	0	0,646	0	136	67	s v ˈ ɑː n	CCVC	0,9713	0,8993	0,2056	0,0093	1,5589	1,4766	3	0,087	0,214	1	False	2,404	1	4	9	4
swahns [ s v ˈ ɑː n s ]	swahns	0,9623	0,8117	0,7915	0	0,705	0	15	8	s v ˈ ɑː n s	CCVCC	0,9416	0,7928	0,2712	0,0134	1,7972	1,8775	1	0,279	0,38	1	False	1,4714	1	5	4	1
svaj [ s v ˈ a ʝː ]	svaj	0,9643	0,8573	1	1	0,8023	0	81	70	s v ˈ a ʝː	CCVC	0,9293	0,8046	0,2024	0,0096	1,6267	1,5171	0	0,122	0,096	1	False	2,1811	1	4	7	6
sval [ s v ˈ ɑː l ]	sval	0,9905	0,962	1	1	0,7994	0	1294	838	s v ˈ ɑː l	CCVC	0,9462	0,8315	0,2118	0,0093	1,6406	1,474	0	0,066	0,051	3	False	3,3795	1	4	13	19
svalg [ s v ˈ a lː ʝ ]	svalg	0,9598	0,8947	0,975	0,925	0,6648	0	141	98	s v ˈ a lː ʝ	CCVCC	0,9299	0,7906	0,2151	0,0107	1,2972	1,2926	0	0,281	0,103	2	False	2,4195	1	5	3	7
svalgs [ s v ˈ a lː ʝ s ]	svalgs	0,9665	0,8947	0,9792	0,925	0,7207	0	0	0	s v ˈ a lː ʝ s	CCVCCC	0,9121	0,7906	0,2855	0,0108	1,5826	0,964	0	0,082	0,065		False	0,2672	1	6	2	3
svall [ s v ˈ a lː ]	svall	0,9879	0,9515	1	1	1	0	552	353	s v ˈ a lː	CCVC	0,9551	0,8993	0,2083	0,0105	1,7053	1,8008	0	0,08	0,079	1	False	3,01	1	4	13	14
svalls [ s v ˈ a lː s ]	svalls	0,9903	0,9515	1	1	1	0	1	1	s v ˈ a lː s	CCVCC	0,9384	0,8418	0,2739	0,0116	1,9143	1,4803	0	0,037	0,049	1	False	0,5683	1	5	6	7
svals [ s v ˈ ɑː l s ]	svals	0,9924	0,962	1	1	0,8395	0	0	0	s v ˈ ɑː l s	CCVCC	0,9171	0,7715	0,2773	0,0107	1,8625	1,3151	0	0,012	0,007		False	0,2672	1	5	9	17
svalt [ s v ˈ ɑː l t ]	svalt	0,9924	0,962	1	1	0,8395	0	3266	1816	s v ˈ ɑː l t	CCVCC	0,9427	0,8315	0,2752	0,0097	1,8407	1,0875	0	0,197	0,079	7	False	3,7814	1	5	4	13
svamp [ s v ˈ a mː p ]	svamp	0,9902	0,9509	1	1	0,8514	0	6442	2258	s v ˈ a mː p	CCVCC	0,908	0,6915	0,2255	0,0149	1,4067	2,2814	0	0,449	0,379	3	False	4,0763	1	5	2	3
svamps [ s v ˈ a mː p s ]	svamps	0,9918	0,9509	1	1	0,8762	0	0	0	s v ˈ a mː p s	CCVCCC	0,8845	0,6915	0,2959	0,0158	1,6738	1,8973	0	0,035	0,026		False	0,2672	1	6	3	5
svan [ s v ˈ ɑː n ]	svan	0,9905	0,962	1	1	0,7994	0	675	424	s v ˈ ɑː n	CCVC	0,9713	0,8993	0,2056	0,0093	1,5589	1,4766	3	0,087	0,039	1	False	3,0972	1	4	9	23
swan [ s v ˈ ɑː n ]	swan	0,9905	0,962	0,9372	0,7489	0,7994	0	736	342	s v ˈ ɑː n	CCVC	0,9713	0,8993	0,2056	0,0093	1,5589	1,4766	3	0,087	0,108		False	3,1347	1	4	9	9
svang [ s v ˈ a ŋː ]	svang	0,964	0,856	1	1	0,8187	0	91	46	s v ˈ a ŋː	CCVC	0,9222	0,8282	0,2056	0,0103	1,6693	1,7315	0	0,06	0,058		False	2,231	1	4	13	13
svank [ s v ˈ a ŋː k ]	svank	0,9596	0,7979	0,9864	0,9321	0,8048	0	307	214	s v ˈ a ŋː k	CCVCC	0,9259	0,8282	0,2437	0,0122	1,5971	1,5973	0	0,153	0,093	1	False	2,7558	1	5	7	12
svanks [ s v ˈ a ŋː k s ]	svanks	0,9663	0,7979	0,9887	0,9321	0,8374	0	1	1	s v ˈ a ŋː k s	CCVCCC	0,9026	0,7626	0,3141	0,0152	1,8324	1,6913	0	0,123	0,051	1	False	0,5683	1	6	3	6
svann [ s v ˈ a nː ]	svann	0,9661	0,8646	0,9731	0,8922	1	0	5	5	s v ˈ a nː	CCVC	0,9683	0,8993	0,2126	0,0128	1,763	2,5764	1	0,043	0,026	1	False	1,0454	1	4	12	14
swann [ s v ˈ a nː ]	swann	0,9661	0,8646	0,9103	0,7489	1	0	19	13	s v ˈ a nː	CCVC	0,9683	0,8993	0,2126	0,0128	1,763	2,5764	1	0,043	0,103		False	1,5683	1	4	12	5
svans [ s v ˈ ɑː n s ]	svans	0,9924	0,962	1	1	0,8395	1	2065	1061	s v ˈ ɑː n s	CCVCC	0,9416	0,7928	0,2712	0,0134	1,7972	1,8775	1	0,279	0,081	2	False	3,5824	1	5	4	20
svans [ s v ˈ a nː s ]	svans	0,9938	0,969	1	1	0,837	1	2065	1061	s v ˈ a nː s	CCVCC	0,9502	0,8593	0,2782	0,0162	1,9604	2,5444	0	0,171	0,081	2	False	3,5824	1	5	8	20
svar [ s v ˈ ɑː r ]	svar	0,9905	0,962	1	1	0,7994	0	169260	7136	s v ˈ ɑː r	CCVC	0,9733	0,8993	0,2169	0,0089	1,7087	1,3548	0	0,088	0,059	1	False	5,4958	1	4	15	28
svars [ s v ˈ ɑː ʂ ]	svars	0,942	0,8059	1	1	0,7994	0	1370	652	s v ˈ ɑː ʂ	CCVC	0,919	0,7026	0,1825	0,0081	1,2513	1,0836	0	0,109	0,079	1	False	3,4043	1	4	9	16
svart [ s v ˈ a ʈː ]	svart	0,9465	0,786	1	1	0,9188	0	74921	7046	s v ˈ a ʈː	CCVC	0,9242	0,7793	0,203	0,0103	1,6344	1,7306	0	0,217	0,062	4	False	5,1418	1	4	8	21
svarts [ s v ˈ a ʈː ʂ ]	svarts	0,9025	0,7267	0,9765	0,8824	0,7388	0	8	5	s v ˈ a ʈː ʂ	CCVCC	0,9049	0,7793	0,2134	0,0107	1,2783	1,2879	3	0,216	0,035	4	False	1,2215	1	5	3	15
svartz [ s v ˈ a ʈː ʂ ]	svartz	0,8943	0,6856	0,9108	0,5538	0,7446	0	2	2	s v ˈ a ʈː ʂ	CCVCC	0,9049	0,7793	0,2134	0,0107	1,2783	1,2879	3	0,216	0,036		False	0,7444	1	5	3	7
swartz [ s v ˈ a ʈː ʂ ]	swartz	0,8943	0,6856	0,8605	0,5538	0,7446	0	330	96	s v ˈ a ʈː ʂ	CCVCC	0,9049	0,7793	0,2134	0,0107	1,2783	1,2879	3	0,216	0,789		False	2,7871	1	5	3	1
svarv [ s v ˈ a rː v ]	svarv	0,9687	0,8433	1	1	0,8156	0	27	16	s v ˈ a rː v	CCVCC	0,9154	0,7771	0,223	0,0112	1,3804	1,4103	0	0,114	0,048	1	False	1,7144	1	5	5	10
svarvs [ s v ˈ a rː v s ]	svarvs	0,9739	0,8433	1	1	0,8463	0	0	0	s v ˈ a rː v s	CCVCCC	0,893	0,759	0,2935	0,0117	1,6518	1,1272	0	0,059	0,018		False	0,2672	1	6	3	8
svass [ s v ˈ a sː ]	svass	0,9573	0,8293	0,9867	0,9468	1	0	1	1	s v ˈ a sː	CCVC	0,931	0,8769	0,2094	0,0119	1,7199	2,2545	0	0,02	0,029		False	0,5683	1	4	10	8
swatch [ s v ˈ ɔ tː ɕ ]	swatch	0,7965	0,4863	0,779	0,5137	0,4641	0	155	54	s v ˈ ɔ tː ɕ	CCVCC	0,8212	0,44	0,187	0,0088	0,9133	0,9238	0	0,453	1		False	2,4604	1	5	1	0
sved [ s v ˈ eː d ]	sved	0,9896	0,9582	1	1	0,8015	0	1269	873	s v ˈ eː d	CCVC	0,9463	0,8775	0,2088	0,0086	1,5821	1,3058	1	0,107	0,063	2	False	3,371	1	4	10	18
svedd [ s v ˈ ɛ̝ dː ]	svedd	0,9281	0,7601	0,9843	0,9374	0,7774	0	60	36	s v ˈ ɛ̝ dː	CCVC	0,9212	0,746	0,1801	0,0099	1,2388	1,6007	0	0,095	0,102	2	False	2,0526	1	4	7	8
svedds [ s v ˈ ɛ̝ dː s ]	svedds	0,9425	0,7601	0,9875	0,9374	0,8219	0	0	0	s v ˈ ɛ̝ dː s	CCVCC	0,8836	0,6767	0,2457	0,01	1,5411	1,1326	0	0,034	0,045		False	0,2672	1	5	4	4
svedh [ s v ˈ eː d ]	svedh	0,954	0,8117	0,8	0	0,6477	0	0	0	s v ˈ eː d	CCVC	0,9463	0,8775	0,2088	0,0086	1,5821	1,3058	1	0,107	0,027		False	0,2672	1	4	10	5
sveds [ s v ˈ eː d s ]	sveds	0,9916	0,9582	1	1	0,8412	0	1	1	s v ˈ eː d s	CCVCC	0,912	0,7407	0,2744	0,0132	1,8157	1,868	0	0,05	0,025	2	False	0,5683	1	5	6	11
svee [ s v ˈ eː ]	svee	0,9284	0,7554	0,75	0	0,5528	0	0	0	s v ˈ eː	CCV	0,9265	0,8775	0,1682	0,0067	1,6245	1,2333	0	0,01	0,011		False	0,2672	1	3	8	8
sveen [ s v ˈ ɛ̝ nː ]	sveen	0,9354	0,7554	0,8	0	0,46	0	5	3	s v ˈ ɛ̝ nː	CCVC	0,9758	0,8993	0,19	0,0126	1,3708	2,5114	4	0,104	0,061		False	1,0454	1	4	10	7
sveg [ s v ˈ eː ɡ ]	sveg	0,9896	0,9582	1	1	0,8015	0	234	89	s v ˈ eː ɡ	CCVC	0,9068	0,757	0,1861	0,0073	1,2793	0,871	0	0,094	0,074		False	2,6383	1	4	7	9
svegs [ s v ˈ eː ɡ s ]	svegs	0,9916	0,9582	1	1	0,8412	0	8	8	s v ˈ eː ɡ s	CCVCC	0,8807	0,7506	0,2517	0,008	1,5735	0,6935	0	0,106	0,067		False	1,2215	1	5	7	10
svejk [ ʂ v ˈ ɛ̝ ʝː k ]	svejk	0,7619	0	0,8	0	0,4638	0	18	15	ʂ v ˈ ɛ̝ ʝː k	CCVCC	0,8235	0,6442	0,0931	0,0039	0,2867	0,3955	0	0,291	0,204	1	False	1,546	1	5	1	2
svek [ s v ˈ eː k ]	svek	0,9896	0,9582	1	1	0,8015	0	2857	1261	s v ˈ eː k	CCVC	0,9101	0,7738	0,2156	0,0077	1,6726	1,0215	0	0,129	0,089	2	False	3,7233	1	4	9	13
sveks [ s v ˈ eː k s ]	sveks	0,9916	0,9582	1	1	0,8412	0	12	9	s v ˈ eː k s	CCVCC	0,8855	0,7626	0,2812	0,011	1,8881	1,3582	0	0,081	0,058	1	False	1,3812	1	5	8	11
sven [ s v ˈ ɛ̝ nː ]	sven	0,9804	0,9525	1	1	0,5737	0	4460	1081	s v ˈ ɛ̝ nː	CCVC	0,9758	0,8993	0,19	0,0126	1,3708	2,5114	4	0,104	0,052	2	False	3,9167	1	4	10	24
swen [ s v ˈ ɛ̝ nː ]	swen	0,9804	0,9525	0,9372	0,7489	0,5737	0	6	4	s v ˈ ɛ̝ nː	CCVC	0,9758	0,8993	0,19	0,0126	1,3708	2,5114	4	0,104	0,037		False	1,1123	1	4	10	7
svend [ s v ˈ ɛ̝ nː ]	svend	0,7843	0	0,8	0	0,4589	0	49	35	s v ˈ ɛ̝ nː	CCVC	0,9758	0,8993	0,19	0,0126	1,3708	2,5114	4	0,104	0,132		False	1,9662	1	4	10	5
svenn [ s v ˈ ɛ̝ nː ]	svenn	0,9543	0,8646	0,9731	0,8922	0,7774	0	10	7	s v ˈ ɛ̝ nː	CCVC	0,9758	0,8993	0,19	0,0126	1,3708	2,5114	4	0,104	0,076		False	1,3086	1	4	10	7
svenns [ s v ˈ ɛ̝ nː s ]	svenns	0,9634	0,8646	0,9784	0,8922	0,8219	0	0	0	s v ˈ ɛ̝ nː s	CCVCC	0,9563	0,8593	0,2556	0,016	1,6466	2,4956	1	0,083	0,022		False	0,2672	1	5	8	5
svens [ s v ˈ ɛ̝ nː s ]	svens	0,9843	0,9525	1	1	0,6589	0	104	69	s v ˈ ɛ̝ nː s	CCVCC	0,9563	0,8593	0,2556	0,016	1,6466	2,4956	1	0,083	0,06	2	False	2,2884	1	5	8	19
svensk [ s v ˈ ɛ̝ nː s k ]	svensk	0,9869	0,9525	1	1	0,7158	0	45288	5515	s v ˈ ɛ̝ nː s k	CCVCCC	0,926	0,744	0,2889	0,0223	1,5451	2,9421	1	0,426	0,215	3	False	4,9232	1	6	2	5
svenskt [ s v ˈ ɛ̝ nː s k t ]	svenskt	0,9888	0,9525	1	1	0,7564	0	13723	3022	s v ˈ ɛ̝ nː s k t	CCVCCCC	0,9285	0,744	0,352	0,0267	1,6696	2,9363	0	0,47	0,212	3	False	4,4047	1	7	1	4
svenskts [ s v ˈ ɛ̝ nː s k t s ]	svenskts	0,9902	0,9525	1	1	0,7868	0	0	0	s v ˈ ɛ̝ nː s k t s	CCVCCCCC	0,9036	0,7041	0,4398	0,0334	1,8773	3,0474	0	0,057	0,048		False	0,2672	1	8	1	2
svep [ s v ˈ eː p ]	svep	0,9896	0,9582	1	1	0,8015	0	945	589	s v ˈ eː p	CCVC	0,8806	0,6264	0,1896	0,0069	1,326	0,7533	0	0,181	0,1	1	False	3,2431	1	4	5	9
sveps [ s v ˈ eː p s ]	sveps	0,9916	0,9582	1	1	0,8412	0	76	68	s v ˈ eː p s	CCVCC	0,8578	0,6264	0,2552	0,0074	1,6108	0,5692	0	0,189	0,08	2	False	2,1537	1	5	5	11
svept [ s v ˈ eː p t ]	svept	0,9916	0,9582	1	1	0,8412	0	360	304	s v ˈ eː p t	CCVCC	0,8747	0,6264	0,2531	0,0075	1,589	0,5824	0	0,344	0,126	2	False	2,8247	1	5	2	7
svets [ s v ˈ ɛ̝ tː s ]	svets	0,9406	0,7505	0,9636	0,8178	0,6252	0	42	33	s v ˈ ɛ̝ tː s	CCVCC	0,9297	0,7808	0,254	0,0151	1,6292	2,263	1	0,094	0,063	1	False	1,9007	1	5	8	13
svett [ s v ˈ ɛ̝ tː ]	svett	0,9675	0,9177	1	1	0,7774	0	4303	1984	s v ˈ ɛ̝ tː	CCVC	0,9595	0,8993	0,1884	0,0112	1,3489	2,0463	0	0,082	0,107	4	False	3,9011	1	4	13	11
svetts [ s v ˈ ɛ̝ tː s ]	svetts	0,974	0,9177	1	1	0,8219	0	3	3	s v ˈ ɛ̝ tː s	CCVCC	0,9297	0,7808	0,254	0,0151	1,6292	2,263	1	0,094	0,034	4	False	0,8693	1	5	8	10
svid [ s v ˈ iː d ]	svid	0,9913	0,9654	1	1	0,8142	0	73	46	s v ˈ iː d	CCVC	0,9461	0,8545	0,2089	0,0081	1,5841	1,1312	0	0,063	0,054	1	False	2,1365	1	4	12	14
svids [ s v ˈ iː d s ]	svids	0,9931	0,9654	1	1	0,8513	0	1	1	s v ˈ iː d s	CCVCC	0,9119	0,7407	0,2745	0,0128	1,8173	1,737	0	0,035	0,031	1	False	0,5683	1	5	10	11
swift [ s v ˈ ɪ fː t ]	swift	0,9706	0,8528	0,9498	0,7489	0,8178	0	956	355	s v ˈ ɪ fː t	CCVCC	0,9356	0,7662	0,2492	0,0108	1,5957	1,3023	0	0,27	0,338		False	3,2482	1	5	3	2
svik [ s v ˈ iː k ]	svik	0,9913	0,9654	1	1	0,8142	0	62	53	s v ˈ iː k	CCVC	0,9395	0,8211	0,2157	0,0076	1,6745	0,9745	0	0,064	0,048	1	False	2,0666	1	4	11	17
sviks [ s v ˈ iː k s ]	sviks	0,9931	0,9654	1	1	0,8513	0	34	25	s v ˈ iː k s	CCVCC	0,91	0,7626	0,2813	0,0109	1,8896	1,323	0	0,16	0,1	1	False	1,8113	1	5	7	10
svikt [ s v ˈ ɪ kː t ]	svikt	0,9712	0,8558	0,9827	0,9134	0,8171	0	79	66	s v ˈ ɪ kː t	CCVCC	0,9366	0,85	0,2583	0,0153	1,6927	2,3403	0	0,122	0,061	2	False	2,1703	1	5	4	12
svikts [ s v ˈ ɪ kː t s ]	svikts	0,976	0,8558	0,9856	0,9134	0,8476	0	0	0	s v ˈ ɪ kː t s	CCVCCC	0,9034	0,7041	0,3288	0,0237	1,9121	3,1643	0	0,056	0,019		False	0,2672	1	6	3	9
svin [ s v ˈ iː n ]	svin	0,9913	0,9654	1	1	0,8142	0	3875	1497	s v ˈ iː n	CCVC	0,9569	0,8993	0,2009	0,0077	1,4767	1,0082	1	0,121	0,072	2	False	3,8556	1	4	9	18
svin- [ s v ˈ iː n ]	svin-	0,9913	0,9654	1	1	0,8142	0	16	11	s v ˈ iː n	CCVC	0,9569	0,8993	0,2009	0,0077	1,4767	1,0082	1	0,121	0,096	2	False	1,4977	1	4	9	6
sving [ s v ˈ ɪ ŋː ]	sving	0,964	0,856	1	1	0,8187	0	269	104	s v ˈ ɪ ŋː	CCVC	0,9344	0,8837	0,1882	0,0101	1,3666	1,6956	1	0,102	0,073	3	False	2,6986	1	4	11	14
swing [ s v ˈ ɪ ŋː ]	swing	0,964	0,856	0,9372	0,7489	0,8187	0	883	374	s v ˈ ɪ ŋː	CCVC	0,9344	0,8837	0,1882	0,0101	1,3666	1,6956	1	0,102	0,219	2	False	3,2137	1	4	11	4
svings [ s v ˈ ɪ ŋː s ]	svings	0,9712	0,856	1	1	0,8549	0	1	1	s v ˈ ɪ ŋː s	CCVCC	0,9181	0,7775	0,2537	0,0109	1,6433	1,3381	1	0,271	0,036	3	False	0,5683	1	5	4	9
swings [ s v ˈ ɪ ŋː s ]	swings	0,9712	0,856	0,9498	0,7489	0,8549	0	218	95	s v ˈ ɪ ŋː s	CCVCC	0,9181	0,7775	0,2537	0,0109	1,6433	1,3381	1	0,271	0,324	2	False	2,6077	1	5	4	3
svinn [ s v ˈ ɪ nː ]	svinn	0,9661	0,8646	0,9731	0,8922	1	0	119	93	s v ˈ ɪ nː	CCVC	0,9694	0,8993	0,1952	0,0107	1,4602	1,8977	0	0,07	0,062	1	False	2,3464	1	4	10	16
svinns [ s v ˈ ɪ nː s ]	svinns	0,9729	0,8646	0,9784	0,8922	1	0	0	0	s v ˈ ɪ nː s	CCVCC	0,9511	0,8593	0,2608	0,014	1,7182	2,0354	0	0,013	0,019		False	0,2672	1	5	8	10
svins [ s v ˈ iː n s ]	svins	0,9931	0,9654	1	1	0,8513	0	4	3	s v ˈ iː n s	CCVCC	0,9296	0,7928	0,2665	0,0118	1,7314	1,5262	0	0,075	0,028	2	False	0,9662	1	5	5	16
svir [ s v ˈ iː r ]	svir	0,9913	0,9654	1	1	0,8142	0	10	8	s v ˈ iː r	CCVC	0,9443	0,8452	0,2121	0,0072	1,6265	0,8381	0	0,044	0,032	1	False	1,3086	1	4	8	13
svirr [ s v ˈ ɪ rː ]	svirr	0,9345	0,7379	0,9688	0,875	0,9903	0	3	2	s v ˈ ɪ rː	CCVC	0,8977	0,7555	0,1878	0,0089	1,362	1,2928	0	0,058	0,073		False	0,8693	1	4	6	6
svirs [ s v ˈ iː ʂ ]	svirs	0,9428	0,8059	1	1	0,8142	0	0	0	s v ˈ iː ʂ	CCVC	0,8696	0,4788	0,1778	0,007	1,1691	0,7617	0	0,016	0,019		False	0,2672	1	4	7	9
svisch [ s v ˈ ɪ ʂː ]	svisch	0,9132	0,6527	0,9622	0,8489	0,8677	0	234	142	s v ˈ ɪ ʂː	CCVC	0,8704	0,5934	0,1835	0,0087	1,3049	1,256	0	0,217	0,51	1	False	2,6383	1	4	4	1
swiss [ s v ˈ ɪ sː ]	swiss	0,9573	0,8293	0,9239	0,7489	1	0	512	168	s v ˈ ɪ sː	CCVC	0,9343	0,8882	0,192	0,0108	1,4172	1,948	0	0,133	0,381		False	2,9774	1	4	8	2
svit [ s v ˈ iː t ]	svit	0,9913	0,9654	1	1	0,8142	0	1056	565	s v ˈ iː t	CCVC	0,9371	0,8093	0,2367	0,0084	1,9545	1,2392	0	0,138	0,073	2	False	3,2913	1	4	7	15
svits [ s v ˈ iː t s ]	svits	0,9931	0,9654	1	1	0,8513	0	0	0	s v ˈ iː t s	CCVCC	0,8983	0,7041	0,3023	0,0124	2,1136	1,6796	0	0,019	0,011		False	0,2672	1	5	7	12
svor [ s v ˈ uː r ]	svor	0,9829	0,9315	1	1	0,9228	0	1609	1014	s v ˈ uː r	CCVC	0,9124	0,7113	0,2133	0,0079	1,6468	1,1077	0	0,095	0,092	2	False	3,4741	1	4	9	10
svulst [ s v ˈ ɵ lː s t ]	svulst	0,983	0,9041	0,9917	0,9502	0,8587	0	34	27	s v ˈ ɵ lː s t	CCVCCC	0,8989	0,7533	0,3024	0,0206	1,6375	2,5356	0	1	1	1	False	1,8113	1	6	0	0
svulsts [ s v ˈ ɵ lː s t s ]	svulsts	0,9855	0,9041	0,9929	0,9502	0,8789	0	0	0	s v ˈ ɵ lː s t s	CCVCCCC	0,8745	0,7041	0,3824	0,0277	1,8665	2,9336	0	0,129	0,129		False	0,2672	1	7	1	1
svål [ s v ˈ oː l ]	svål	1	1	1	1	1	0	47	38	s v ˈ oː l	CCVC	0,9129	0,7659	0,2083	0,009	1,5806	1,381	0	0,058	0,073	2	False	1,9485	1	4	9	7
svåls [ s v ˈ oː l s ]	svåls	1	1	1	1	1	0	0	0	s v ˈ oː l s	CCVCC	0,8894	0,7659	0,2739	0,0104	1,8145	1,2453	0	0,044	0,043		False	0,2672	1	5	4	5
svår [ s v ˈ oː r ]	svår	1	1	1	1	1	0	15896	4709	s v ˈ oː r	CCVC	0,9406	0,8993	0,2134	0,009	1,6487	1,3819	0	0,081	0,073	2	False	4,4686	1	4	14	16
svårs [ s v ˈ oː ʂ ]	svårs	0,9515	0,8059	1	1	1	0	2	2	s v ˈ oː ʂ	CCVC	0,8913	0,6647	0,1791	0,0078	1,1913	0,9878	0	0,037	0,032	2	False	0,7444	1	4	8	9
svårt [ s v ˈ oː ʈ ]	svårt	0,9502	0,8006	1	1	1	0	162328	8726	s v ˈ oː ʈ	CCVC	0,9135	0,7687	0,1747	0,0077	1,1333	0,9661	0	0,307	0,207	2	False	5,4776	1	4	4	6
svårts [ s v ˈ oː ʈ ʂ ]	svårts	0,9055	0,7267	0,9765	0,8824	0,8038	0	0	0	s v ˈ oː ʈ ʂ	CCVCC	0,8785	0,7107	0,1851	0,0079	0,8774	0,6562	0	0,041	0,035		False	0,2672	1	5	2	3
svälj [ s v ˈ ɛ̝ lː ʝ ]	svälj	0,9801	0,9041	0,9836	0,9502	0,8305	0	227	190	s v ˈ ɛ̝ lː ʝ	CCVCC	0,9343	0,7906	0,1925	0,0121	0,9835	1,642	0	0,132	0,142	2	False	2,6252	1	5	6	5
sväll [ s v ˈ ɛ̝ lː ]	sväll	0,9869	0,9515	0,9919	0,9677	1	0	4	4	s v ˈ ɛ̝ lː	CCVC	0,9604	0,8993	0,1857	0,0119	1,3131	2,2666	0	0,018	0,021	1	False	0,9662	1	4	14	13
svälld [ s v ˈ ɛ̝ lː d ]	svälld	0,9896	0,9515	0,9935	0,9677	1	0	208	92	s v ˈ ɛ̝ lː d	CCVCC	0,9386	0,8161	0,2141	0,0126	1,2104	1,7545	0	0,152	0,136	1	False	2,5874	1	5	6	7
svällds [ s v ˈ ɛ̝ lː d s ]	svällds	0,9913	0,9515	0,9946	0,9677	1	0	0	0	s v ˈ ɛ̝ lː d s	CCVCCC	0,9103	0,7407	0,2845	0,0156	1,5102	1,8134	0	0,062	0,035		False	0,2672	1	6	2	3
svälls [ s v ˈ ɛ̝ lː s ]	svälls	0,9896	0,9515	0,9935	0,9677	1	0	0	0	s v ˈ ɛ̝ lː s	CCVCC	0,9428	0,8418	0,2513	0,013	1,6005	1,8297	0	0,008	0,01		False	0,2672	1	5	15	13
svällt [ s v ˈ ɛ̝ lː t ]	svällt	0,9896	0,9515	0,9935	0,9677	1	0	328	223	s v ˈ ɛ̝ lː t	CCVCC	0,9522	0,8979	0,2492	0,0127	1,5787	1,7764	1	0,114	0,087	1	False	2,7844	1	5	10	11
svält [ s v ˈ ɛ̝ lː t ]	svält	0,9801	0,9041	0,9836	0,9502	0,8305	0	1791	869	s v ˈ ɛ̝ lː t	CCVCC	0,9522	0,8979	0,2492	0,0127	1,5787	1,7764	1	0,114	0,127	3	False	3,5206	1	5	10	9
svälts [ s v ˈ ɛ̝ lː t s ]	svälts	0,9834	0,9041	0,9863	0,9502	0,8587	0	14	13	s v ˈ ɛ̝ lː t s	CCVCCC	0,9167	0,7041	0,3196	0,0211	1,8171	2,7131	0	0,113	0,087	2	False	1,4433	1	6	5	7
