// Setup
SequentiallyOrderedLists = True
SequentiallyOrderedSentences = True
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True
PresetLevel = ListCollection

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	Swedish Matrix Test (Hagerman)		Swedish Matrix Test (Hagerman)	False
Phoneme	L02S04W00P04	L02S04W00	r	False
Word	L02S04W01	L02S04	flyttar	False
Phoneme	L02S04W01P00	L02S04W01	flyttar	False
Word	L02S04W02	L02S04	åtta	False
Phoneme	L02S04W02P00	L02S04W02	åtta	False
Word	L02S04W03	L02S04	ljusa	False
Phoneme	L02S04W03P00	L02S04W03	ljusa	False
Word	L02S04W04	L02S04	skålar	False
Phoneme	L02S04W04P00	L02S04W04	skålar	False
Sentence	L02S05	L02	Sentence05	False
Word	L02S05W00	L02S05	Svante	False
Phoneme	L02S05W00P00	L02S05W00	s	False
Phoneme	L02S05W00P01	L02S05W00	v	False
Phoneme	L02S05W00P02	L02S05W00	a	False
Phoneme	L02S05W00P03	L02S05W00	nː	False
Phoneme	L02S05W00P04	L02S05W00	t	False
Phoneme	L02S05W00P05	L02S05W00	e̞	False
Word	L02S05W01	L02S05	tog	False
Phoneme	L02S05W01P00	L02S05W01	tog	False
Word	L02S05W02	L02S05	tolv	False
Phoneme	L02S05W02P00	L02S05W02	tolv	False
Word	L02S05W03	L02S05	hela	False
Phoneme	L02S05W03P00	L02S05W03	hela	False
Word	L02S05W04	L02S05	dukar	False
Phoneme	L02S05W04P00	L02S05W04	dukar	False
Sentence	L02S06	L02	Sentence06	False
Word	L02S06W00	L02S06	Märta	False
Phoneme	L02S06W00P00	L02S06W00	m	False
Phoneme	L02S06W00P01	L02S06W00	ɛ̝	False
Phoneme	L02S06W00P02	L02S06W00	ʈː	False
Phoneme	L02S06W00P03	L02S06W00	a	False
Word	L02S06W01	L02S06	har	False
Phoneme	L02S06W01P00	L02S06W01	har	False
Word	L02S06W02	L02S06	elva	False
Phoneme	L02S06W02P00	L02S06W02	elva	False
Word	L02S06W03	L02S06	lätta	False
Phoneme	L02S06W03P00	L02S06W03	lätta	False
Word	L02S06W04	L02S06	korgar	False
Phoneme	L02S06W04P00	L02S06W04	korgar	False
Sentence	L02S07	L02	Sentence07	False
Word	L02S07W00	L02S07	Karin	False
Phoneme	L02S07W00P00	L02S07W00	k	False
Phoneme	L02S07W00P01	L02S07W00	ɑː	False
Phoneme	L02S07W00P02	L02S07W00	r	False
Phoneme	L02S07W00P03	L02S07W00	ɪ	False
Phoneme	L02S07W00P04	L02S07W00	n	False
Word	L02S07W01	L02S07	höll	False
Phoneme	L02S07W01P00	L02S07W01	höll	False
Word	L02S07W02	L02S07	fyra	False
Phoneme	L02S07W02P00	L02S07W02	fyra	False
Word	L02S07W03	L02S07	vackra	False
Phoneme	L02S07W03P00	L02S07W03	vackra	False
Word	L02S07W04	L02S07	mössor	False
Phoneme	L02S07W04P00	L02S07W04	mössor	False
Sentence	L02S08	L02	Sentence08	False
Word	L02S08W00	L02S08	Jonas	False
Phoneme	L02S08W00P00	L02S08W00	ʝ	False
Phoneme	L02S08W00P01	L02S08W00	uː	False
Phoneme	L02S08W00P02	L02S08W00	n	False
Phoneme	L02S08W00P03	L02S08W00	a	False
Phoneme	L02S08W00P04	L02S08W00	s	False
Word	L02S08W01	L02S08	köpte	False
Phoneme	L02S08W01P00	L02S08W01	köpte	False
Word	L02S08W02	L02S08	sex	False
Phoneme	L02S08W02P00	L02S08W02	sex	False
Word	L02S08W03	L02S08	nya	False
Phoneme	L02S08W03P00	L02S08W03	nya	False
Word	L02S08W04	L02S08	vantar	False
Phoneme	L02S08W04P00	L02S08W04	vantar	False
Sentence	L02S09	L02	Sentence09	False
Word	L02S09W00	L02S09	Anna	False
Phoneme	L02S09W00P00	L02S09W00	a	False
Phoneme	L02S09W00P01	L02S09W00	nː	False
Phoneme	L02S09W00P02	L02S09W00	a	False
Word	L02S09W01	L02S09	ser	False
Phoneme	L02S09W01P00	L02S09W01	ser	False
Word	L02S09W02	L02S09	tre	False
Phoneme	L02S09W02P00	L02S09W02	tre	False
Word	L02S09W03	L02S09	svarta	False
Phoneme	L02S09W03P00	L02S09W03	svarta	False
Word	L02S09W04	L02S09	ringar	False
Phoneme	L02S09W04P00	L02S09W04	ringar	False

List	L03	Swedish Matrix Test (Hagerman)	Lista 3	False
Sentence	L03S00	L03	Sentence00	False
Word	L03S00W00	L03S00	Gustav	False
Phoneme	L03S00W00P00	L03S00W00	ɡ	False
Phoneme	L03S00W00P01	L03S00W00	ɵ	False
Phoneme	L03S00W00P02	L03S00W00	sː	False
Phoneme	L03S00W00P03	L03S00W00	t	False
Phoneme	L03S00W00P04	L03S00W00	ɑ	False
Phoneme	L03S00W00P05	L03S00W00	v	False
Word	L03S00W01	L03S00	ser	False
Phoneme	L03S00W01P00	L03S00W01	ser	False
Word	L03S00W02	L03S00	tolv	False
Phoneme	L03S00W02P00	L03S00W02	tolv	False
Word	L03S00W03	L03S00	svarta	False
Phoneme	L03S00W03P00	L03S00W03	svarta	False
Word	L03S00W04	L03S00	skålar	False
Phoneme	L03S00W04P00	L03S00W04	skålar	False
Sentence	L03S01	L03	Sentence01	False
Word	L03S01W00	L03S01	Jonas	False
Phoneme	L03S01W00P00	L03S01W00	ʝ	False
Phoneme	L03S01W00P01	L03S01W00	uː	False
Phoneme	L03S01W00P02	L03S01W00	n	False
Phoneme	L03S01W00P03	L03S01W00	a	False
Phoneme	L03S01W00P04	L03S01W00	s	False
Word	L03S01W01	L03S01	flyttar	False
Phoneme	L03S01W01P00	L03S01W01	flyttar	False
Word	L03S01W02	L03S01	sju	False
Phoneme	L03S01W02P00	L03S01W02	sju	False
Word	L03S01W03	L03S01	ljusa	False
Phoneme	L03S01W03P00	L03S01W03	ljusa	False
Word	L03S01W04	L03S01	lådor	False
Phoneme	L03S01W04P00	L03S01W04	lådor	False
Sentence	L03S02	L03	Sentence02	False
Word	L03S02W00	L03S02	Märta	False
Phoneme	L03S02W00P00	L03S02W00	m	False
Phoneme	L03S02W00P01	L03S02W00	ɛ̝	False
Phoneme	L03S02W00P02	L03S02W00	ʈː	False
Phoneme	L03S02W00P03	L03S02W00	a	False
Word	L03S02W01	L03S02	köpte	False
Phoneme	L03S02W01P00	L03S02W01	köpte	False
Word	L03S02W02	L03S02	fyra	False
Phoneme	L03S02W02P00	L03S02W02	fyra	False
Word	L03S02W03	L03S02	hela	False
Phoneme	L03S02W03P00	L03S02W03	hela	False
Word	L03S02W04	L03S02	mössor	False
Phoneme	L03S02W04P00	L03S02W04	mössor	False
Sentence	L03S03	L03	Sentence03	False
Word	L03S03W00	L03S03	Elsa	False
Phoneme	L03S03W00P00	L03S03W00	ɛ̝	False
Phoneme	L03S03W00P01	L03S03W00	lː	False
Phoneme	L03S03W00P02	L03S03W00	s	False
Phoneme	L03S03W00P03	L03S03W00	a	False
Word	L03S03W01	L03S03	lånar	False
Phoneme	L03S03W01P00	L03S03W01	lånar	False
Word	L03S03W02	L03S03	tre	False
Phoneme	L03S03W02P00	L03S03W02	tre	False
Word	L03S03W03	L03S03	mörka	False
Phoneme	L03S03W03P00	L03S03W03	mörka	False
Word	L03S03W04	L03S03	vantar	False
Phoneme	L03S03W04P00	L03S03W04	vantar	False
Sentence	L03S04	L03	Sentence04	False
Word	L03S04W00	L03S04	Karin	False
Phoneme	L03S04W00P00	L03S04W00	k	False
Phoneme	L03S04W00P01	L03S04W00	ɑː	False
Phoneme	L03S04W00P02	L03S04W00	r	False
Phoneme	L03S04W00P03	L03S04W00	ɪ	False
Phoneme	L03S04W00P04	L03S04W00	n	False
Word	L03S04W01	L03S04	visar	False
Phoneme	L03S04W01P00	L03S04W01	visar	False
Word	L03S04W02	L03S04	åtta	False
Phoneme	L03S04W02P00	L03S04W02	åtta	False
Word	L03S04W03	L03S04	gamla	False
Phoneme	L03S04W03P00	L03S04W03	gamla	False
Word	L03S04W04	L03S04	dukar	False
Phoneme	L03S04W04P00	L03S04W04	dukar	False
Sentence	L03S05	L03	Sentence05	False
Word	L03S05W00	L03S05	Bosse	False
Phoneme	L03S05W00P00	L03S05W00	b	False
Phoneme	L03S05W00P01	L03S05W00	ʊ	False
Phoneme	L03S05W00P02	L03S05W00	sː	False
Phoneme	L03S05W00P03	L03S05W00	e̞	False
Word	L03S05W01	L03S05	ägde	False
Phoneme	L03S05W01P00	L03S05W01	ägde	False
Word	L03S05W02	L03S05	sex	False
Phoneme	L03S05W02P00	L03S05W02	sex	False
Word	L03S05W03	L03S05	vackra	False
Phoneme	L03S05W03P00	L03S05W03	vackra	False
Word	L03S05W04	L03S05	ringar	False
Phoneme	L03S05W04P00	L03S05W04	ringar	False
Sentence	L03S06	L03	Sentence06	False
Word	L03S06W00	L03S06	Peter	False
Phoneme	L03S06W00P00	L03S06W00	p	False
Phoneme	L03S06W00P01	L03S06W00	eː	False
Phoneme	L03S06W00P02	L03S06W00	t	False
