Id	Spelling	Transcription	IsKeyComponent
L09S04W00	Britta	 b r ² ɪ tː . a 	0
L09S04W01	ägde	 ägde 	0
L09S04W02	arton	 arton 	0
L09S04W03	svarta	 svarta 	0
L09S04W04	ringar	 ringar 	0
L09S05W00	Peter	 p ˈ eː . t e̞ r 	0
L09S05W01	höll	 höll 	0
L09S05W02	nio	 nio 	0
L09S05W03	nya	 nya 	0
L09S05W04	lådor	 lådor 	0
L09S06W00	Elsa	 ² ɛ̝ lː . s a 	0
L09S06W01	ser	 ser 	0
L09S06W02	elva	 elva 	0
L09S06W03	gamla	 gamla 	0
L09S06W04	skålar	 skålar 	0
L09S07W00	Karin	 k ² ɑː . r ɪ n 	0
L09S07W01	visar	 visar 	0
L09S07W02	fyra	 fyra 	0
L09S07W03	fina	 fina 	0
L09S07W04	vantar	 vantar 	0
L09S08W00	Märta	 m ² ɛ̝ ʈː . a 	0
L09S08W01	gav	 gav 	0
L09S08W02	sex	 sex 	0
L09S08W03	lätta	 lätta 	0
L09S08W04	dukar	 dukar 	0
L09S09W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L09S09W01	lånar	 lånar 	0
L09S09W02	två	 två 	0
L09S09W03	vackra	 vackra 	0
L09S09W04	mössor	 mössor 	0
L10S00W00	Bosse	 b ² ʊ sː . e̞ 	0
L10S00W01	lånar	 lånar 	0
L10S00W02	fyra	 fyra 	0
L10S00W03	vackra	 vackra 	0
L10S00W04	korgar	 korgar 	0
L10S01W00	Svante	 s v ² a nː . t e̞ 	0
L10S01W01	höll	 höll 	0
L10S01W02	tolv	 tolv 	0
L10S01W03	svarta	 svarta 	0
L10S01W04	dukar	 dukar 	0
L10S02W00	Märta	 m ² ɛ̝ ʈː . a 	0
L10S02W01	gav	 gav 	0
L10S02W02	åtta	 åtta 	0
L10S02W03	ljusa	 ljusa 	0
L10S02W04	knappar	 knappar 	0
L10S03W00	Anna	 ² a nː . a 	0
L10S03W01	flyttar	 flyttar 	0
L10S03W02	sju	 sju 	0
L10S03W03	gamla	 gamla 	0
L10S03W04	pennor	 pennor 	0
L10S04W00	Karin	 k ² ɑː . r ɪ n 	0
L10S04W01	ser	 ser 	0
L10S04W02	tre	 tre 	0
L10S04W03	fina	 fina 	0
L10S04W04	bollar	 bollar 	0
L10S05W00	Britta	 b r ² ɪ tː . a 	0
L10S05W01	visar	 visar 	0
L10S05W02	sex	 sex 	0
L10S05W03	hela	 hela 	0
L10S05W04	mössor	 mössor 	0
L10S06W00	Peter	 p ˈ eː . t e̞ r 	0
L10S06W01	tog	 tog 	0
L10S06W02	elva	 elva 	0
L10S06W03	nya	 nya 	0
L10S06W04	vantar	 vantar 	0
L10S07W00	Jonas	 ʝ ² uː . n a s 	0
L10S07W01	har	 har 	0
L10S07W02	två	 två 	0
L10S07W03	lätta	 lätta 	0
L10S07W04	skålar	 skålar 	0
L10S08W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L10S08W01	köpte	 köpte 	0
L10S08W02	nio	 nio 	0
L10S08W03	mörka	 mörka 	0
L10S08W04	lådor	 lådor 	0
L10S09W00	Elsa	 ² ɛ̝ lː . s a 	0
L10S09W01	ägde	 ägde 	0
L10S09W02	arton	 arton 	0
L10S09W03	stora	 stora 	0
L10S09W04	ringar	 ringar 	0
L11S00W00	Svante	 s v ² a nː . t e̞ 	0
L11S00W01	lånar	 lånar 	0
L11S00W02	sex	 sex 	0
L11S00W03	ljusa	 ljusa 	0
L11S00W04	lådor	 lådor 	0
L11S01W00	Peter	 p ˈ eː . t e̞ r 	0
L11S01W01	höll	 höll 	0
L11S01W02	sju	 sju 	0
L11S01W03	fina	 fina 	0
L11S01W04	skålar	 skålar 	0
L11S02W00	Bosse	 b ² ʊ sː . e̞ 	0
L11S02W01	köpte	 köpte 	0
L11S02W02	nio	 nio 	0
L11S02W03	hela	 hela 	0
L11S02W04	bollar	 bollar 	0
L11S03W00	Jonas	 ʝ ² uː . n a s 	0
L11S03W01	visar	 visar 	0
L11S03W02	arton	 arton 	0
L11S03W03	nya	 nya 	0
L11S03W04	dukar	 dukar 	0
L11S04W00	Karin	 k ² ɑː . r ɪ n 	0
L11S04W01	ser	 ser 	0
L11S04W02	två	 två 	0
L11S04W03	mörka	 mörka 	0
L11S04W04	ringar	 ringar 	0
L11S05W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L11S05W01	flyttar	 flyttar 	0
L11S05W02	fyra	 fyra 	0
L11S05W03	gamla	 gamla 	0
L11S05W04	korgar	 korgar 	0
L11S06W00	Märta	 m ² ɛ̝ ʈː . a 	0
L11S06W01	tog	 tog 	0
L11S06W02	tolv	 tolv 	0
L11S06W03	svarta	 svarta 	0
L11S06W04	vantar	 vantar 	0
L11S07W00	Anna	 ² a nː . a 	0
L11S07W01	har	 har 	0
L11S07W02	elva	 elva 	0
L11S07W03	stora	 stora 	0
L11S07W04	pennor	 pennor 	0
L11S08W00	Britta	 b r ² ɪ tː . a 	0
L11S08W01	gav	 gav 	0
L11S08W02	åtta	 åtta 	0
L11S08W03	lätta	 lätta 	0
L11S08W04	knappar	 knappar 	0
