// Setup				
SequentiallyOrderedLists = True				
SequentiallyOrderedSentences = True				
SequentiallyOrderedWords = True				
SequentiallyOrderedPhonemes = True				
PresetLevel = ListCollection				
				
// Components				
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent
Phoneme	L04S07W00P03	L04S07W00	a	False
Phoneme	L04S07W00P04	L04S07W00	s	False
Word	L04S07W01	L04S07	ser	False
Phoneme	L04S07W01P00	L04S07W01	ser	False
Word	L04S07W02	L04S07	elva	False
Phoneme	L04S07W02P00	L04S07W02	elva	False
Word	L04S07W03	L04S07	svarta	False
Phoneme	L04S07W03P00	L04S07W03	svarta	False
Word	L04S07W04	L04S07	mössor	False
Phoneme	L04S07W04P00	L04S07W04	mössor	False
Sentence	L04S08	L04	Sentence08	False
Word	L04S08W00	L04S08	Märta	False
Phoneme	L04S08W00P00	L04S08W00	m	False
Phoneme	L04S08W00P01	L04S08W00	ɛ̝	False
Phoneme	L04S08W00P02	L04S08W00	ʈː	False
Phoneme	L04S08W00P03	L04S08W00	a	False
Word	L04S08W01	L04S08	ägde	False
Phoneme	L04S08W01P00	L04S08W01	ägde	False
Word	L04S08W02	L04S08	nio	False
Phoneme	L04S08W02P00	L04S08W02	nio	False
Word	L04S08W03	L04S08	gamla	False
Phoneme	L04S08W03P00	L04S08W03	gamla	False
Word	L04S08W04	L04S08	korgar	False
Phoneme	L04S08W04P00	L04S08W04	korgar	False
Sentence	L04S09	L04	Sentence09	False
Word	L04S09W00	L04S09	Gustav	False
Phoneme	L04S09W00P00	L04S09W00	ɡ	False
Phoneme	L04S09W00P01	L04S09W00	ɵ	False
Phoneme	L04S09W00P02	L04S09W00	sː	False
Phoneme	L04S09W00P03	L04S09W00	t	False
Phoneme	L04S09W00P04	L04S09W00	ɑ	False
Phoneme	L04S09W00P05	L04S09W00	v	False
Word	L04S09W01	L04S09	har	False
Phoneme	L04S09W01P00	L04S09W01	har	False
Word	L04S09W02	L04S09	sju	False
Phoneme	L04S09W02P00	L04S09W02	sju	False
Word	L04S09W03	L04S09	ljusa	False
Phoneme	L04S09W03P00	L04S09W03	ljusa	False
Word	L04S09W04	L04S09	skålar	False
Phoneme	L04S09W04P00	L04S09W04	skålar	False
				
List	L05	Swedish Matrix Test (Hagerman)	Lista 5	False
Sentence	L05S00	L05	Sentence00	False
Word	L05S00W00	L05S00	Jonas	False
Phoneme	L05S00W00P00	L05S00W00	ʝ	False
Phoneme	L05S00W00P01	L05S00W00	uː	False
Phoneme	L05S00W00P02	L05S00W00	n	False
Phoneme	L05S00W00P03	L05S00W00	a	False
Phoneme	L05S00W00P04	L05S00W00	s	False
Word	L05S00W01	L05S00	visar	False
Phoneme	L05S00W01P00	L05S00W01	visar	False
Word	L05S00W02	L05S00	arton	False
Phoneme	L05S00W02P00	L05S00W02	arton	False
Word	L05S00W03	L05S00	lätta	False
Phoneme	L05S00W03P00	L05S00W03	lätta	False
Word	L05S00W04	L05S00	korgar	False
Phoneme	L05S00W04P00	L05S00W04	korgar	False
Sentence	L05S01	L05	Sentence01	False
Word	L05S01W00	L05S01	Anna	False
