Id	Transcription
L03S02W04P03	ʊ
L03S03W00P00	m
L03S03W00P01	ʊ
L03S03W00P02	rː
L03S03W00P03	m
L03S03W00P04	ʊ
L03S03W00P05	rː
L03S03W01P00	s
L03S03W01P01	k
L03S03W01P02	ɑː
L03S03W02P00	k
L03S03W02P01	l
L03S03W02P02	ɪ
L03S03W02P03	pː
L03S03W02P04	a
L03S03W03P00	s
L03S03W03P01	ɛ̝
L03S03W03P02	ʝː
L03S03W04P00	p
L03S03W04P01	oː
L03S03W05P00	t
L03S03W05P01	iː
L03S03W05P02	s
L03S03W05P03	d
L03S03W05P04	ɑ
L03S03W05P05	ɡ
L03S04W00P00	f
L03S04W00P01	l
L03S04W00P02	ɪ
L03S04W00P03	kː
L03S04W00P04	a
L03S04W00P05	n
L03S04W01P00	b
L03S04W01P01	r
L03S04W01P02	ɛ̝
L03S04W01P03	nː
L03S04W01P04	d
L03S04W01P05	e̞
L03S04W02P00	s
L03S04W02P01	ɛ̝
L03S04W02P02	ʝː
L03S04W03P00	p
L03S04W03P01	oː
L03S04W04P00	r
L03S04W04P01	ʏ
L03S04W04P02	ɡː
L03S04W04P03	e̞
L03S04W04P04	n
L03S05W00P00	d
L03S05W00P01	ɛː
L03S05W01P00	ɡ
L03S05W01P01	a
L03S05W01P02	mː
L03S05W01P03	l
L03S05W01P04	a
L03S05W02P00	b
L03S05W02P01	uː
L03S05W02P02	ɖ
L03S05W02P03	e̞
L03S05W02P04	t
L03S05W03P00	s
L03S05W03P01	t
L03S05W03P02	oː
L03S05W03P03	r
L03S05W04P00	p
L03S05W04P01	oː
L03S05W05P00	ɡ
L03S05W05P01	oː
L03S05W05P02	ɖ
L03S05W05P03	e̞
L03S05W05P04	n
L03S06W00P00	k
L03S06W00P01	ɪ
L03S06W00P02	lː
L03S06W00P03	e̞
L03S06W00P04	n
L03S06W01P00	v
L03S06W01P01	ɪ
L03S06W01P02	sː
L03S06W01P03	l
L03S06W01P04	a
L03S06W01P05	d
L03S06W01P06	e̞
L03S06W02P00	f
L03S06W02P01	r
L03S06W02P02	oː
L03S06W02P03	n
L03S06W03P00	b
L03S06W03P01	a
L03S06W03P02	l
L03S06W03P03	k
L03S06W03P04	ɔ
L03S06W03P05	ŋː
L03S06W03P06	e̞
L03S06W03P07	n
L03S07W00P00	t
L03S07W00P01	ʉ
L03S07W00P02	r
L03S07W00P03	ɪ
L03S07W00P04	sː
L03S07W00P05	t
L03S07W00P06	e̞
L03S07W00P07	n
L03S07W01P00	s
L03S07W01P01	ʏ
L03S07W01P02	kː
L03S07W01P03	l
L03S07W01P04	a
L03S07W01P05	d
L03S07W01P06	e̞
L03S07W02P00	øː
L03S07W02P01	v
L03S07W02P02	e̞
L03S07W02P03	r
L03S07W03P00	b
L03S07W03P01	r
L03S07W03P02	uː
L03S07W03P03	n
L03S08W00P00	p
L03S08W00P01	ɔ
L03S08W00P02	ʝː
L03S08W00P03	k
L03S08W00P04	e̞
L03S08W00P05	n
L03S08W01P00	s
L03S08W01P01	t
L03S08W01P02	a
L03S08W01P03	ʈː
L03S08W01P04	a
L03S08W01P05	d
L03S08W01P06	e̞
L03S08W02P00	ɛ̝
L03S08W02P01	nː
L03S08W03P00	f
L03S08W03P01	ø̞
L03S08W03P02	r
L03S08W03P03	eː
L03S08W03P04	n
L03S08W03P05	ɪ
L03S08W03P06	ŋ
L03S09W00P00	r
L03S09W00P01	ɵ
L03S09W00P02	mː
L03S09W00P03	e̞
L03S09W00P04	t
L03S09W01P00	h
L03S09W01P01	ɑː
L03S09W01P02	r
L03S09W02P00	t
L03S09W02P01	r
L03S09W02P02	eː
L03S09W03P00	ɡ
L03S09W03P01	ʉː
L03S09W03P02	l
L03S09W03P03	a
L03S09W04P00	v
L03S09W04P01	ɛ̝
L03S09W04P02	ɡː
L03S09W04P03	a
L03S09W04P04	r
L04S00W00P00	f
L04S00W00P01	l
L04S00W00P02	ɪ
L04S00W00P03	kː
L04S00W00P04	a
L04S00W00P05	n
L04S00W01P00	s
L04S00W01P01	k
L04S00W01P02	ɑː
L04S00W02P00	oː
L04S00W02P01	k
L04S00W02P02	a
L04S00W03P00	s
L04S00W03P01	k
L04S00W03P02	r
L04S00W03P03	ɪ
L04S00W03P04	sː
L04S00W03P05	k
L04S00W03P06	ʊ
L04S00W03P07	r
L04S00W04P00	ɪ
L04S00W04P01	d
L04S00W04P02	ɑː
L04S00W04P03	ɡ
L04S01W00P00	m
L04S01W00P01	a
L04S01W00P02	mː
L04S01W00P03	a
L04S01W01P00	s
L04S01W01P01	l
L04S01W01P02	uː
L04S01W01P03	ɡ
L04S01W02P00	ɵ
L04S01W02P01	pː
L04S01W03P00	t
L04S01W03P01	ɛ̝
L04S01W03P02	lː
L04S01W03P03	t
L04S01W03P04	e̞
L04S01W03P05	t
L04S01W04P00	p
L04S01W04P01	oː
L04S01W05P00	ɛ̝
L04S01W05P01	ŋː
L04S01W05P02	e̞
L04S01W05P03	n
L04S02W00P00	e̞
L04S02W00P01	l
L04S02W00P02	eː
L04S02W00P03	v
L04S02W00P04	e̞
L04S02W00P05	n
L04S02W01P00	ɡ
L04S02W01P01	l
L04S02W01P02	ø̞
L04S02W01P03	mː
L04S02W01P04	d
L04S02W01P05	e̞
L04S02W02P00	s
L04S02W02P01	ɪ
L04S02W02P02	nː
L04S02W03P00	v
L04S02W03P01	ɛ̝
L04S02W03P02	sː
L04S02W03P03	k
L04S02W03P04	a
L04S03W00P00	l
L04S03W00P01	ɪ
L04S03W00P02	lː
L04S03W00P03	e̞
L04S03W00P04	b
L04S03W00P05	r
L04S03W00P06	uː
L04S03W00P07	r
L04S03W01P00	f
L04S03W01P01	ø̞
L04S03W01P02	r
L04S03W01P03	f
L04S03W01P04	r
L04S03W01P05	øː
L04S03W01P06	s
L04S03W02P00	v
L04S03W02P01	ɛ̝
L04S03W02P02	nː
L04S03W02P03	s
L04S03W02P04	t
L04S03W02P05	r
L04S03W02P06	a
L04S03W03P00	s
L04S03W03P01	t
L04S03W03P02	uː
L04S03W03P03	ʈ
L04S03W03P04	oː
L04S03W03P05	n
L04S04W00P00	t
L04S04W00P01	oː
L04S04W00P02	ɡ
L04S04W00P03	e̞
L04S04W00P04	t
L04S04W01P00	s
L04S04W01P01	t
L04S04W01P02	a
L04S04W01P03	nː
L04S04W01P04	a
L04S04W01P05	d
L04S04W01P06	e̞
L04S04W02P00	v
L04S04W02P01	iː
L04S04W02P02	d
L04S04W03P00	p
L04S04W03P01	e̞
L04S04W03P02	r
L04S04W03P03	ɔ
L04S04W03P04	ŋː
L04S04W04P00	ɧ
L04S04W04P01	ʉː
L04S05W00P00	h
L04S05W00P01	ʊ
L04S05W00P02	nː
L04S05W01P00	f
L04S05W01P01	ɪ
L04S05W01P02	kː
