// Setup				
SequentiallyOrderedLists = True				
SequentiallyOrderedSentences = True				
SequentiallyOrderedWords = True				
SequentiallyOrderedPhonemes = True				
PresetLevel = ListCollection				
				
// Components				
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent
Word	L06S03W03	L06S03	min	False
Word	L06S03W04	L06S03	fåtölj	False
Sentence	L06S04	L06	Sentence04	False
Word	L06S04W00	L06S04	Bagaren	False
Word	L06S04W01	L06S04	knäppte	False
Word	L06S04W02	L06S04	sin	False
Word	L06S04W03	L06S04	stora	False
Word	L06S04W04	L06S04	rock	False
Sentence	L06S05	L06	Sentence05	False
Word	L06S05W00	L06S05	Båten	False
Word	L06S05W01	L06S05	hade	False
Word	L06S05W02	L06S05	två	False
Word	L06S05W03	L06S05	blå	False
Word	L06S05W04	L06S05	segel	False
Sentence	L06S06	L06	Sentence06	False
Word	L06S06W00	L06S06	Tjuven	False
Word	L06S06W01	L06S06	halkade	False
Word	L06S06W02	L06S06	i	False
Word	L06S06W03	L06S06	leran	False
Sentence	L06S07	L06	Sentence07	False
Word	L06S07W00	L06S07	Morfar	False
Word	L06S07W01	L06S07	provade	False
Word	L06S07W02	L06S07	för	False
Word	L06S07W03	L06S07	stora	False
Word	L06S07W04	L06S07	skor	False
Sentence	L06S08	L06	Sentence08	False
Word	L06S08W00	L06S08	De	False
Word	L06S08W01	L06S08	gula	False
Word	L06S08W02	L06S08	glasögonen	False
Word	L06S08W03	L06S08	är	False
Word	L06S08W04	L06S08	fina	False
Sentence	L06S09	L06	Sentence09	False
Word	L06S09W00	L06S09	Busschauffören	False
Word	L06S09W01	L06S09	äter	False
Word	L06S09W02	L06S09	kex	False
				
List	L07	HINT	Lista 8	False
Sentence	L07S00	L07	Sentence00	False
Word	L07S00W00	L07S00	Doktorn	False
Word	L07S00W01	L07S00	duschade	False
Word	L07S00W02	L07S00	på	False
Word	L07S00W03	L07S00	kvällen	False
Sentence	L07S01	L07	Sentence01	False
Word	L07S01W00	L07S01	Fotbollen	False
Word	L07S01W01	L07S01	försvann	False
Word	L07S01W02	L07S01	bakom	False
Word	L07S01W03	L07S01	huset	False
Sentence	L07S02	L07	Sentence02	False
Word	L07S02W00	L07S02	Flickan	False
Word	L07S02W01	L07S02	svalde	False
Word	L07S02W02	L07S02	ett	False
Word	L07S02W03	L07S02	tuggummi	False
Sentence	L07S03	L07	Sentence03	False
Word	L07S03W00	L07S03	Farbrorn	False
Word	L07S03W01	L07S03	svettades	False
Word	L07S03W02	L07S03	när	False
Word	L07S03W03	L07S03	han	False
Word	L07S03W04	L07S03	sprang	False
Sentence	L07S04	L07	Sentence04	False
